,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",41903929,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
2,"Easy On Me",Adele,38781731,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
3,"STAY (with Justin Bieber)","The Kid LAROI",36279512,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",31627834,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
5,"Cold Heart - PNAU Remix","Elton John",27756566,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
6,"Heat Waves","Glass Animals",26692208,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
7,Shivers,"Ed Sheeran",25912592,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
8,"Smokin Out The Window","Bruno Mars",24621720,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
9,Pepas,Farruko,22483641,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
10,"Bad Habits","Ed Sheeran",22160452,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
11,"Red (Taylor's Version)","Taylor Swift",19661760,https://open.spotify.com/track/4OAuvHryIVv4kMDNSLuPt6
12,MONEY,LISA,19536967,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
13,"All Too Well (Taylor's Version)","Taylor Swift",19501557,https://open.spotify.com/track/3nsfB1vus2qaloUdcBZvDu
14,"One Right Now (with The Weeknd)","Post Malone",19257873,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
15,"My Universe",Coldplay,19007831,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
16,Woman,"Doja Cat",18449011,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
17,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",17630328,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
18,"Already Dead","Juice WRLD",17452226,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
19,"love nwantiti (ah ah ah)",CKay,16898265,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
20,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,16496323,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
21,"I Knew You Were Trouble (Taylor's Version)","Taylor Swift",15845007,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP
22,"good 4 u","Olivia Rodrigo",15528592,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
23,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,15489789,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
24,Toxic,BoyWithUke,15232594,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
25,"Need to Know","Doja Cat",15208045,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
26,"THATS WHAT I WANT","Lil Nas X",15042092,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
27,"Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Taylor Swift",14951508,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B
28,Beggin',Måneskin,14934643,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
29,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",14782857,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
30,"22 (Taylor's Version)","Taylor Swift",14570031,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP
31,"State Of Grace (Taylor's Version)","Taylor Swift",14564495,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki
32,"LA FAMA (with The Weeknd)",ROSALÍA,14552083,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
33,"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Taylor Swift",14399012,https://open.spotify.com/track/4IQkfUsrwXol38VV3U7t7T
34,"Happier Than Ever","Billie Eilish",14347684,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
35,"Kiss Me More (feat. SZA)","Doja Cat",14277349,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
36,"Leave The Door Open","Bruno Mars",14203903,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
37,"MONTERO (Call Me By Your Name)","Lil Nas X",13946160,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
38,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,13507843,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
39,"We Are Never Ever Getting Back Together (Taylor's Version)","Taylor Swift",13326265,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs
40,"Do It To It",ACRAZE,13278258,https://open.spotify.com/track/20on25jryn53hWghthWWW3
41,"I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Taylor Swift",13011513,https://open.spotify.com/track/4CkgMiMqZ5JzW9iYXSTMTL
42,"Treacherous (Taylor's Version)","Taylor Swift",12923909,https://open.spotify.com/track/3S7HNKPakdwNEBFIVTL6dZ
43,Yonaguni,"Bad Bunny",12734210,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
44,"Life Goes On","Oliver Tree",12727576,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
45,"Blinding Lights","The Weeknd",12609635,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
46,Ghost,"Justin Bieber",12501044,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
47,"Where Are You Now","Lost Frequencies",12444705,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
48,"Meet Me At Our Spot","THE ANXIETY",11840233,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
49,"Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",11757532,https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j
50,"Better Man (Taylor's Version) (From The Vault)","Taylor Swift",11640267,https://open.spotify.com/track/4OmFmE0fzcMG6g0Y8p4eSD
51,"I Almost Do (Taylor's Version)","Taylor Swift",11629343,https://open.spotify.com/track/2r9CbjYgFhtAmcFv1cSquB
52,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,11492397,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
53,traitor,"Olivia Rodrigo",11287566,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
54,"Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Taylor Swift",11063569,https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK
55,"I Love You So","The Walters",10924546,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
56,"Todo De Ti","Rauw Alejandro",10857403,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
57,Volví,Aventura,10819046,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
58,"The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Taylor Swift",10799411,https://open.spotify.com/track/0y6kdSRCVQhSsHSpWvTUm7
59,"Stay Stay Stay (Taylor's Version)","Taylor Swift",10767008,https://open.spotify.com/track/7eQj6r5PIdYKEIZjucBMcq
60,"Levitating (feat. DaBaby)","Dua Lipa",10537900,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
61,Enchanted,"Taylor Swift",10489161,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
62,"The Very First Night (Taylor's Version) (From The Vault)","Taylor Swift",10481973,https://open.spotify.com/track/6pYNq0ZwpPVazKzsqpf0G8
63,"Sweater Weather","The Neighbourhood",10456304,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
64,Nostálgico,Rvssian,10332628,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
65,"Overpass Graffiti","Ed Sheeran",10228577,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
66,"ESCAPE PLAN","Travis Scott",10183164,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
67,"Way 2 Sexy (with Future & Young Thug)",Drake,10168699,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
68,"Babe (Taylor's Version) (From The Vault)","Taylor Swift",10093273,https://open.spotify.com/track/0v4z1tuZvn6LGknom9Qx7d
69,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,10088204,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
70,"Holy Ground (Taylor's Version)","Taylor Swift",9883814,https://open.spotify.com/track/7J4b3LVCIGO4CMBDFLPoP6
71,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",9855551,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
72,"Praise God","Kanye West",9770154,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
