,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",60989757,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Todo De Ti","Rauw Alejandro",40849404,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
3,Yonaguni,"Bad Bunny",39966824,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,"MONTERO (Call Me By Your Name)","Lil Nas X",36058702,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Kiss Me More (feat. SZA)","Doja Cat",33552374,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"deja vu","Olivia Rodrigo",29199065,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
7,Butter,BTS,28607418,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
8,"Levitating (feat. DaBaby)","Dua Lipa",27360970,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",27104371,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,traitor,"Olivia Rodrigo",23362853,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
11,"drivers license","Olivia Rodrigo",22223003,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
12,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",21454427,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
13,"I WANNA BE YOUR SLAVE",Måneskin,21198463,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
14,happier,"Olivia Rodrigo",20774678,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
15,"Astronaut In The Ocean","Masked Wolf",19857494,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
16,"Leave The Door Open","Bruno Mars",19505494,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
17,Fiel,"Los Legendarios",18953147,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
18,"Qué Más Pues?","J Balvin",18755328,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
19,"favorite crime","Olivia Rodrigo",18653595,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
20,RAPSTAR,"Polo G",18438317,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
21,"Pareja Del Año","Sebastian Yatra",18325636,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
22,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,17496092,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
23,"Build a Bitch","Bella Poarch",16674293,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
24,"Blinding Lights","The Weeknd",16368847,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
25,"Solar Power",Lorde,16013405,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
26,Beggin',Måneskin,15279263,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
27,brutal,"Olivia Rodrigo",15226634,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
28,AM,"Nio Garcia",15058176,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
29,"ZITTI E BUONI",Måneskin,14757823,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
