,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",61385396,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",53085371,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"THATS WHAT I WANT","Lil Nas X",32546474,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
4,"Heat Waves","Glass Animals",31103477,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,"Bad Habits","Ed Sheeran",30276896,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,Pepas,Farruko,30119703,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
7,Woman,"Doja Cat",29648304,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,"MONTERO (Call Me By Your Name)","Lil Nas X",28933084,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
9,Shivers,"Ed Sheeran",27138539,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
10,Beggin',Måneskin,26309445,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"good 4 u","Olivia Rodrigo",24943366,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"Way 2 Sexy (with Future & Young Thug)",Drake,23088866,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
13,"Need to Know","Doja Cat",22506534,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
14,"Fair Trade (with Travis Scott)",Drake,20658947,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
15,"Kiss Me More (feat. SZA)","Doja Cat",19826752,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
16,"Happier Than Ever","Billie Eilish",19263184,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
17,"Life Goes On","Oliver Tree",18234742,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"Cold Heart - PNAU Remix","Elton John",17171664,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
19,Yonaguni,"Bad Bunny",16613967,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
20,"Todo De Ti","Rauw Alejandro",16491457,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
21,"Girls Want Girls (with Lil Baby)",Drake,15925804,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
22,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,15905936,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
23,Volví,Aventura,15694072,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
24,LALISA,LISA,15577524,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
25,Hurricane,"Kanye West",15167133,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
26,traitor,"Olivia Rodrigo",15165886,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
27,"Levitating (feat. DaBaby)","Dua Lipa",15154174,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,"In Da Getto","J Balvin",14735208,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
29,"Wildest Dreams (Taylor's Version)","Taylor Swift",14592123,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
30,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",14173474,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
