,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Beggin',Måneskin,51365875,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,"STAY (with Justin Bieber)","The Kid LAROI",44889152,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
3,"good 4 u","Olivia Rodrigo",44027552,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
4,"Bad Habits","Ed Sheeran",38983802,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"Kiss Me More (feat. SZA)","Doja Cat",30080808,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
6,"MONTERO (Call Me By Your Name)","Lil Nas X",29788400,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,"Todo De Ti","Rauw Alejandro",29554347,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
8,Yonaguni,"Bad Bunny",27446234,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
9,"I WANNA BE YOUR SLAVE",Måneskin,26540253,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
10,"Permission to Dance",BTS,26475195,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2
11,"Levitating (feat. DaBaby)","Dua Lipa",24370656,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,"Qué Más Pues?","J Balvin",24176106,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
13,Butter,BTS,23015380,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",21835262,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,traitor,"Olivia Rodrigo",20572698,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
16,"deja vu","Olivia Rodrigo",20414838,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
17,"AM Remix","Nio Garcia",19386520,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
18,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",18434937,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
19,"Volando - Remix",Mora,17595887,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
20,"Motley Crew","Post Malone",17286328,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
21,"drivers license","Olivia Rodrigo",16574033,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
22,happier,"Olivia Rodrigo",16201759,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
23,"Ain't Shit","Doja Cat",15965676,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
24,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,15514908,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
25,"Blinding Lights","The Weeknd",15374289,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,"Leave The Door Open","Bruno Mars",15064236,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
27,"Astronaut In The Ocean","Masked Wolf",15017324,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
28,"favorite crime","Olivia Rodrigo",14419332,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
29,"Heat Waves","Glass Animals",14194696,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
30,"Pareja Del Año","Sebastian Yatra",13457133,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
31,"You Right","Doja Cat",13379942,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
32,"Need to Know","Doja Cat",13023636,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
33,Dynamite,BTS,12759351,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
34,"Watermelon Sugar","Harry Styles",12629912,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,NDA,"Billie Eilish",12410675,https://open.spotify.com/track/6uqyE384HDSsuwpoF4mjrL
36,RAPSTAR,"Polo G",12201836,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
37,"jealousy, jealousy","Olivia Rodrigo",12179911,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
38,DÁKITI,"Bad Bunny",12101806,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
39,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,11715617,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
40,"Poblado - Remix","J Balvin",11664081,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
41,"The Business",Tiësto,11453556,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
42,Miénteme,TINI,11218933,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
43,"Build a Bitch","Bella Poarch",11052450,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
44,"Fiel - Remix",Wisin,11050107,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
45,"Mood (feat. iann dior)",24kGoldn,10591225,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
46,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,10477686,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
47,Rasputin,Majestic,10104254,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
48,Pepas,Farruko,10057745,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
49,2/Catorce,"Rauw Alejandro",10037606,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
50,brutal,"Olivia Rodrigo",10006330,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
51,"911 - Remix",Sech,9823680,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
52,"Your Love (9PM)",ATB,9758596,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
53,Dinero,"Trinidad Cardona",9720084,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
54,"Thot Shit","Megan Thee Stallion",9656237,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
55,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,9582923,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
56,"Heartbreak Anniversary",Giveon,9537038,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
57,Freaks,"Surf Curse",9507220,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
58,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",9491224,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
59,"Tiroteo - Remix","Marc Seguí",9379052,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
60,"ZITTI E BUONI",Måneskin,9301008,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
61,Run,OneRepublic,9291957,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
62,"Save Your Tears","The Weeknd",9271120,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
63,"Meu Pedaço de Pecado","João Gomes",9231666,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
64,"Don't Start Now","Dua Lipa",9140743,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
65,"Bout A Million (feat. 42 Dugg & 21 Savage)","Pop Smoke",8961078,https://open.spotify.com/track/4LaGu95Ui2s4vprSQYWUAZ
66,"Tell The Vision (feat. Kanye West & Pusha T)","Pop Smoke",8859168,https://open.spotify.com/track/2UwALqx6yOsXTFt7zRxnts
67,"Someone You Loved","Lewis Capaldi",8689953,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
68,"EL MAKINON","KAROL G",8542109,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
69,Fiel,"Los Legendarios",8502148,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
70,telepatía,"Kali Uchis",8481357,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
71,"Sweater Weather","The Neighbourhood",8435520,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
72,"Demeanor (feat. Dua Lipa)","Pop Smoke",8349976,https://open.spotify.com/track/3DMs7bahbQTnoxCjgP7qoK
73,"Botella Tras Botella","Gera MX",8208424,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
74,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,8170737,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
75,"Entre Nosotros","Tiago PZK",8089872,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
76,BED,"Joel Corry",8061984,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
77,"Head & Heart (feat. MNEK)","Joel Corry",8008924,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
78,"Goosebumps - Remix","Travis Scott",7960479,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
79,"Wants and Needs (feat. Lil Baby)",Drake,7942440,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
80,"Dance Monkey","Tones And I",7940136,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
81,"WITHOUT YOU","The Kid LAROI",7873199,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
82,512,Mora,7859776,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
83,"Iko Iko (My Bestie)","Justin Wellington",7626630,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
84,Arcade,"Duncan Laurence",7571471,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
85,Loco,"Justin Quiles",7556276,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
86,"Ram Pam Pam","Natti Natasha",7449573,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
87,"Woo Baby (feat. Chris Brown)","Pop Smoke",7371935,https://open.spotify.com/track/58T4yPLn4NjBYXfRxeweyM
88,Circles,"Post Malone",7293245,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
89,positions,"Ariana Grande",7262374,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
90,"Sal y Perrea",Sech,7237439,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
91,"Love Tonight - Edit",Shouse,7052035,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
92,"Love Again","Dua Lipa",6979648,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
93,"Roses - Imanbek Remix","SAINt JHN",6918832,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
94,Levitating,"Dua Lipa",6892229,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
95,"By Your Side (feat. Tom Grennan)","Calvin Harris",6867703,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
96,Up,"Cardi B",6866801,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
97,"Before You Go","Lewis Capaldi",6857900,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
98,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",6840177,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
99,Reckless,"Madison Beer",6837786,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
100,"KESI - Remix",Camilo,6823754,https://open.spotify.com/track/0IqCoZ168iRc9LqfrYgpZy
101,Believer,"Imagine Dragons",6812706,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"Talking to the Moon","Bruno Mars",6795472,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
103,"enough for you","Olivia Rodrigo",6767477,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
104,"Hold On","Justin Bieber",6724083,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
105,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6723533,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
106,Sobrio,Maluma,6689201,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
107,"2:50 Remix",MYA,6685898,https://open.spotify.com/track/74znaWw1hmQBusGPSOuTFy
108,"Shape of You","Ed Sheeran",6654328,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
