,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",41518285,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"Last Christmas",Wham!,36107065,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
3,abcdefu,GAYLE,33844528,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
4,"STAY (with Justin Bieber)","The Kid LAROI",31758766,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
5,"Rockin' Around The Christmas Tree","Brenda Lee",30343074,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
6,"Easy On Me",Adele,29904287,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
7,"Jingle Bell Rock","Bobby Helms",28959509,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
8,"It's Beginning to Look a Lot like Christmas","Michael Bublé",27551436,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",27018858,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
10,"Santa Tell Me","Ariana Grande",25964611,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
11,"Heat Waves","Glass Animals",25911670,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
12,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",25566516,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
13,"Cold Heart - PNAU Remix","Elton John",25480328,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
14,"It's the Most Wonderful Time of the Year","Andy Williams",24137342,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
15,Snowman,Sia,21636448,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
16,"Feliz Navidad","José Feliciano",20663443,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
17,Shivers,"Ed Sheeran",20581592,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
18,Pepas,Farruko,19752500,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
19,"Underneath the Tree","Kelly Clarkson",19452712,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
20,"Do It To It",ACRAZE,18991725,https://open.spotify.com/track/20on25jryn53hWghthWWW3
21,Mistletoe,"Justin Bieber",18647613,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
22,"Sleigh Ride","The Ronettes",18315558,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
23,"Driving Home for Christmas - 2019 Remaster","Chris Rea",18149866,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
24,"Bad Habits","Ed Sheeran",18126975,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
25,"Merry Christmas","Ed Sheeran",18096468,https://open.spotify.com/track/0aoUM0zcu0kCX7Cv7O939I
26,Woman,"Doja Cat",17033860,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
27,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",16909408,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
28,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",16788374,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
29,"Holly Jolly Christmas","Michael Bublé",16581800,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
30,"White Christmas","Bing Crosby",16564674,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
31,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",16531071,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
32,"My Universe",Coldplay,16398631,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
33,"good 4 u","Olivia Rodrigo",15752632,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
34,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",15200070,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
35,"Merry Christmas Everyone","Shakin' Stevens",14360291,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
36,"Step Into Christmas","Elton John",14288523,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
37,"Do They Know It's Christmas? - 1984 Version","Band Aid",14022105,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
38,Infinity,"Jaymes Young",13934579,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
39,"Kiss Me More (feat. SZA)","Doja Cat",13926903,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
40,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",13914964,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
41,"MONTERO (Call Me By Your Name)","Lil Nas X",13441807,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
42,"Need to Know","Doja Cat",13400332,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
43,Yonaguni,"Bad Bunny",13175045,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
44,"A Holly Jolly Christmas - Single Version","Burl Ives",13161732,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
45,"love nwantiti (ah ah ah)",CKay,13011882,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
46,Beggin',Måneskin,12890783,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
47,"The Christmas Song (Merry Christmas To You)","Nat King Cole",12886643,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
