,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",51033858,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","DJ Khaled",36792183,https://open.spotify.com/track/3DXncPQOG4VBw3QHh3S817
3,"Shape of You","Ed Sheeran",29634907,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,HUMBLE.,"Kendrick Lamar",26122191,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
5,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",23378508,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
6,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",21854116,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
7,"There's Nothing Holdin' Me Back","Shawn Mendes",21506864,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
8,Attention,"Charlie Puth",21382203,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
9,"Stay (with Alessia Cara)",Zedd,20224386,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
10,"It Ain't Me (with Selena Gomez)",Kygo,19894904,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
11,Malibu,"Miley Cyrus",19650210,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
12,"Something Just Like This","The Chainsmokers",19446030,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
13,"That's What I Like","Bruno Mars",19239281,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
14,Unforgettable,"French Montana",19175111,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
15,"Mask Off",Future,18661678,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
16,"Symphony (feat. Zara Larsson)","Clean Bandit",18545788,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
17,"XO TOUR Llif3","Lil Uzi Vert",17634568,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
