,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",53295313,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,Beggin',Måneskin,43774815,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",37785225,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
4,"Bad Habits","Ed Sheeran",37233342,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"good 4 u","Olivia Rodrigo",36592001,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
6,"Happier Than Ever","Billie Eilish",33200672,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
7,"MONTERO (Call Me By Your Name)","Lil Nas X",27905645,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Kiss Me More (feat. SZA)","Doja Cat",27190287,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
9,"Todo De Ti","Rauw Alejandro",25472753,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
10,Yonaguni,"Bad Bunny",23679793,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
11,"I WANNA BE YOUR SLAVE",Måneskin,23030243,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
12,"Qué Más Pues?","J Balvin",21494431,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
13,"Levitating (feat. DaBaby)","Dua Lipa",21091829,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,Pepas,Farruko,19908958,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
15,"Need to Know","Doja Cat",19601126,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
16,traitor,"Olivia Rodrigo",19465827,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
17,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",19198085,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
18,"Permission to Dance",BTS,18555736,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
19,Butter,BTS,17893520,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
20,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",17033721,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
21,"deja vu","Olivia Rodrigo",16794979,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
22,"AM Remix","Nio Garcia",16762392,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
23,"Volando - Remix",Mora,16121576,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
24,"Leave The Door Open","Bruno Mars",15287078,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
25,"Ain't Shit","Doja Cat",15249324,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
26,"drivers license","Olivia Rodrigo",14999451,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
27,"Heat Waves","Glass Animals",14836549,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,"Blinding Lights","The Weeknd",14550934,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,happier,"Olivia Rodrigo",13709016,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
30,NDA,"Billie Eilish",13481770,https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd
31,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,13361338,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
32,"Astronaut In The Ocean","Masked Wolf",13041896,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
33,Skate,"Bruno Mars",12821219,https://open.spotify.com/track/2sXf2JdbB2GlNju00kw9WE
34,"Don't Go Yet","Camila Cabello",12567165,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
35,Oxytocin,"Billie Eilish",12475141,https://open.spotify.com/track/4t2OeILB07eMGTXSUbMPEu
36,"911 - Remix",Sech,12334166,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
37,"Entre Nosotros","Tiago PZK",12309965,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
