,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,34694378,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2,"STAY (with Justin Bieber)","The Kid LAROI",34492742,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,abcdefu,GAYLE,32105221,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
4,"All I Want for Christmas Is You","Mariah Carey",30344322,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
5,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",29824174,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
6,"Heat Waves","Glass Animals",27388275,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
7,"Cold Heart - PNAU Remix","Elton John",25592241,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
8,"Last Christmas",Wham!,24943790,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
9,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",24820064,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
10,Shivers,"Ed Sheeran",21611002,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
11,Pepas,Farruko,20198736,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
12,"It's Beginning to Look a Lot like Christmas","Michael Bublé",19902694,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
13,"Jingle Bell Rock","Bobby Helms",19754610,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
14,"Bad Habits","Ed Sheeran",19620102,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
15,"Rockin' Around The Christmas Tree","Brenda Lee",19430205,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
16,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",19278792,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
17,"good 4 u","Olivia Rodrigo",18187892,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
18,Woman,"Doja Cat",18045554,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
19,"I Hate U",SZA,17740494,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
20,"Santa Tell Me","Ariana Grande",17670168,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
21,"Do It To It",ACRAZE,17593002,https://open.spotify.com/track/20on25jryn53hWghthWWW3
22,"My Universe",Coldplay,17010692,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
23,"It's the Most Wonderful Time of the Year","Andy Williams",16527558,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
24,"Kiss Me More (feat. SZA)","Doja Cat",15711921,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
25,"MONTERO (Call Me By Your Name)","Lil Nas X",15550447,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
26,"Need to Know","Doja Cat",14603140,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
27,"Oh My God",Adele,14544664,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
28,Beggin',Måneskin,14445438,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
29,MONEY,LISA,14415027,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
30,"love nwantiti (ah ah ah)",CKay,13988202,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
31,Toxic,BoyWithUke,13887554,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
32,"Happier Than Ever","Billie Eilish",13670177,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
33,Yonaguni,"Bad Bunny",13627256,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
34,"Blinding Lights","The Weeknd",13423753,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
35,"Feliz Navidad","José Feliciano",13402203,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
36,"Smokin Out The Window","Bruno Mars",13368400,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
37,"drivers license","Olivia Rodrigo",13342058,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
38,"Underneath the Tree","Kelly Clarkson",13026298,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
39,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,12967131,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
40,Snowman,Sia,12955986,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
41,"Wandered To LA (with Justin Bieber)","Juice WRLD",12914041,https://open.spotify.com/track/5J6rTmMjF9DVIAF8G3M9n4
42,"THATS WHAT I WANT","Lil Nas X",12581756,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
43,Mistletoe,"Justin Bieber",12567508,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
44,traitor,"Olivia Rodrigo",12503843,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
45,"One Right Now (with The Weeknd)","Post Malone",12482575,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
46,Ghost,"Justin Bieber",12367241,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
47,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,12301693,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
48,"Levitating (feat. DaBaby)","Dua Lipa",12185491,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
49,"Sleigh Ride","The Ronettes",11877513,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
50,"Todo De Ti","Rauw Alejandro",11789658,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
51,"White Christmas","Bing Crosby",11731627,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
52,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",11629013,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
53,Infinity,"Jaymes Young",11533747,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
54,"Where Are You Now","Lost Frequencies",11485161,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
55,"Driving Home for Christmas - 2019 Remaster","Chris Rea",11394661,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
56,"I Love You So","The Walters",11285884,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
57,"Sweater Weather","The Neighbourhood",11154410,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
58,"Mon Amour - Remix",zzoilo,11052434,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
59,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",11045393,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
60,"Holly Jolly Christmas","Michael Bublé",11021766,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
61,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,10931673,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
62,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",10791802,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
63,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",10786879,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
64,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",10760421,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
65,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",10619406,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
66,"Merry Christmas","Ed Sheeran",10548173,https://open.spotify.com/track/0aoUM0zcu0kCX7Cv7O939I
67,"Do They Know It's Christmas? - 1984 Version","Band Aid",10489408,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
68,DÁKITI,"Bad Bunny",10303408,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
69,"Meet Me At Our Spot","THE ANXIETY",10246410,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
70,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",10142691,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
71,Volví,Aventura,10112281,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
72,"Merry Christmas Everyone","Shakin' Stevens",9977284,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
73,"Life Goes On","Oliver Tree",9677521,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
74,"Leave The Door Open","Bruno Mars",9550219,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
75,Heather,"Conan Gray",9477742,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
76,"It'll Be Okay","Shawn Mendes",9457751,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
