,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",38691349,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"Last Christmas",Wham!,33973886,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
3,"STAY (with Justin Bieber)","The Kid LAROI",30617364,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,abcdefu,GAYLE,30568173,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
5,"Rockin' Around The Christmas Tree","Brenda Lee",27687876,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
6,"Jingle Bell Rock","Bobby Helms",27275884,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
7,"Easy On Me",Adele,26975375,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
8,"It's Beginning to Look a Lot like Christmas","Michael Bublé",25811527,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
9,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",25461351,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
10,"Heat Waves","Glass Animals",25017314,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
11,"Cold Heart - PNAU Remix","Elton John",24644667,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
12,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",24296921,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
13,"Santa Tell Me","Ariana Grande",23777493,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
14,"It's the Most Wonderful Time of the Year","Andy Williams",23084852,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
15,"Feliz Navidad","José Feliciano",21021159,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
16,Snowman,Sia,20377814,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
17,Shivers,"Ed Sheeran",19142831,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
18,Pepas,Farruko,18914412,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
19,"Sleigh Ride","The Ronettes",18046271,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
20,"Underneath the Tree","Kelly Clarkson",17929104,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
21,"Do It To It",ACRAZE,17626697,https://open.spotify.com/track/20on25jryn53hWghthWWW3
22,"Driving Home for Christmas - 2019 Remaster","Chris Rea",17525227,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
23,"Merry Christmas","Ed Sheeran",17521438,https://open.spotify.com/track/0aoUM0zcu0kCX7Cv7O939I
24,"Bad Habits","Ed Sheeran",17170966,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
25,Mistletoe,"Justin Bieber",17163650,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
26,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",17068635,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
27,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",16766065,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
28,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",16426591,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
29,Woman,"Doja Cat",16173466,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
30,"Holly Jolly Christmas","Michael Bublé",16163538,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
31,"My Universe",Coldplay,15786918,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
32,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",15262622,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
33,"good 4 u","Olivia Rodrigo",14699371,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
34,"Merry Christmas Everyone","Shakin' Stevens",14101874,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
35,Infinity,"Jaymes Young",13947310,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
36,"Do They Know It's Christmas? - 1984 Version","Band Aid",13532313,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
37,"Kiss Me More (feat. SZA)","Doja Cat",13271817,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
38,"MONTERO (Call Me By Your Name)","Lil Nas X",12860476,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
39,Yonaguni,"Bad Bunny",12700063,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
40,"A Holly Jolly Christmas - Single Version","Burl Ives",12671149,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
41,"White Christmas","Bing Crosby",12499550,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
42,"Need to Know","Doja Cat",12474051,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
43,"love nwantiti (ah ah ah)",CKay,12393143,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
44,"The Christmas Song (Merry Christmas To You)","Nat King Cole",12237965,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
45,Beggin',Måneskin,12126734,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
46,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,12003477,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
47,"Blinding Lights","The Weeknd",11817139,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
48,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",11803471,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
49,MONEY,LISA,11779188,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
50,Ghost,"Justin Bieber",11688739,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
51,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",11223659,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
52,"THATS WHAT I WANT","Lil Nas X",11084810,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
53,"Where Are You Now","Lost Frequencies",10860786,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
54,Toxic,BoyWithUke,10728591,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
55,"Happier Than Ever","Billie Eilish",10687597,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
56,"Levitating (feat. DaBaby)","Dua Lipa",10628941,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
57,"Thank God It's Christmas - Non-Album Single",Queen,10495363,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
58,"I Love You So","The Walters",10459993,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
59,"Santa Claus Is Coming To Town","The Jackson 5",10407859,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
60,"Sweater Weather","The Neighbourhood",10405626,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
61,"Mon Amour - Remix",zzoilo,10362045,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
62,"Todo De Ti","Rauw Alejandro",10250254,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
63,traitor,"Olivia Rodrigo",10190120,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
64,"One Right Now (with The Weeknd)","Post Malone",10141910,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
65,"Christmas (Baby Please Come Home)","Darlene Love",10035075,https://open.spotify.com/track/47ohYW8e7dxCYn9qbUMBCI
66,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,10025247,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
67,"drivers license","Olivia Rodrigo",10010648,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
68,"I Hate U",SZA,9907475,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
69,"Step Into Christmas","Elton John",9891819,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
70,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",9758243,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
71,"Smokin Out The Window","Bruno Mars",9556499,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
72,"Christmas (Baby Please Come Home)","Mariah Carey",9509594,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
73,Volví,Aventura,9496509,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
74,"Run Rudolph Run - Single Version","Chuck Berry",9486478,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
75,"My Only Wish (This Year)","Britney Spears",9453982,https://open.spotify.com/track/0YWUHZPJVg4iujddsJDwhM
76,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",9280598,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
77,"Oh My God",Adele,9173339,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
78,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",9012800,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
79,DÁKITI,"Bad Bunny",8973801,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
80,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",8815291,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
81,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",8768734,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
82,"Jingle Bells - Remastered 1999","Frank Sinatra",8764932,https://open.spotify.com/track/4HEOgBHRCExyYVeTyrXsnL
83,Medallo,Blessd,8762403,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
84,"Blue Christmas","Elvis Presley",8750169,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
85,Nostálgico,Rvssian,8644389,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
86,"I AM WOMAN","Emmy Meli",8637880,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
87,"The Motto",Tiësto,8620236,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
88,"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani",8485554,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ
89,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",8434899,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
90,"Have Yourself A Merry Little Christmas","Sam Smith",8377355,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
91,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",8335761,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
92,"Esqueça-Me Se For Capaz","Marília Mendonça",8335487,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
93,"It'll Be Okay","Shawn Mendes",8334603,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
94,"Life Goes On","Oliver Tree",8276252,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
95,"Tacones Rojos","Sebastian Yatra",8231723,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
96,"Meet Me At Our Spot","THE ANXIETY",8138872,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
97,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",8089827,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
98,"Baby, It's Cold Outside","Dean Martin",7963100,https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE
99,"Santa Baby","Kylie Minogue",7888907,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
100,"Christmas Tree",V,7827950,https://open.spotify.com/track/186NCtNk1tUYS7c2DxgJ7O
101,"Watermelon Sugar","Harry Styles",7802985,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
102,"Christmas Lights",Coldplay,7795825,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
103,Desesperados,"Rauw Alejandro",7792833,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
104,"Toma Toma Vapo Vapo","Zé Felipe",7772215,https://open.spotify.com/track/5VTjBl3ddZEiG2LrH4VzyR
105,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,7749692,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
106,"Super Gremlin","Kodak Black",7687174,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
107,"DANCE CRIP",Trueno,7633301,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
108,"Arranhão - Ao Vivo","Henrique & Juliano",7524288,https://open.spotify.com/track/3IMLoeLerS7TMpKjxUgAhx
109,"Save Your Tears","The Weeknd",7520560,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
110,"Leave The Door Open","Bruno Mars",7445876,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
111,Dynamite,BTS,7434623,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
112,"Volando - Remix",Mora,7402139,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
113,"Dark Red","Steve Lacy",7362459,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
114,"Salimo de Noche","Tiago PZK",7359332,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
115,"One More Sleep","Leona Lewis",7341672,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d
