,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,41085341,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
2,"STAY (with Justin Bieber)","The Kid LAROI",38686769,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",33639260,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
4,Shivers,"Ed Sheeran",28561282,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
5,"Heat Waves","Glass Animals",28033694,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,"Cold Heart - PNAU Remix","Elton John",27529517,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"Bad Habits","Ed Sheeran",24525111,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
8,Pepas,Farruko,23822394,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
9,"One Right Now (with The Weeknd)","Post Malone",23006418,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
10,MONEY,LISA,21993452,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
11,"My Universe",Coldplay,21567523,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
12,Woman,"Doja Cat",20202529,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
13,"ESCAPE PLAN","Travis Scott",20022548,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
14,"love nwantiti (ah ah ah)",CKay,18861210,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
15,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,17831648,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
16,"good 4 u","Olivia Rodrigo",17256303,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
17,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",16995765,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
18,"Need to Know","Doja Cat",16667646,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
19,"THATS WHAT I WANT","Lil Nas X",16571016,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
20,Beggin',Måneskin,16395246,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
21,"Smokin Out The Window","Bruno Mars",16185368,https://open.spotify.com/track/4iN16F8JtVxG2UTzp3avGl
22,"Happier Than Ever","Billie Eilish",15788060,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
23,"Kiss Me More (feat. SZA)","Doja Cat",15391402,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
24,"MONTERO (Call Me By Your Name)","Lil Nas X",15157593,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
25,"Life Goes On","Oliver Tree",14578904,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
26,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,14504310,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
27,Toxic,BoyWithUke,14115344,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
28,"Overpass Graffiti","Ed Sheeran",14114337,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
29,MAFIA,"Travis Scott",13927867,https://open.spotify.com/track/08F16baYbciTva9P4BvpiI
30,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,13120001,https://open.spotify.com/track/15HMh4yxdf4wyxSZSlOgGZ
31,"Meet Me At Our Spot","THE ANXIETY",13100377,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
32,Yonaguni,"Bad Bunny",13060494,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
33,"Where Are You Now","Lost Frequencies",13023597,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
34,"Blinding Lights","The Weeknd",12789083,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
35,Ghost,"Justin Bieber",12774730,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
36,traitor,"Olivia Rodrigo",12676731,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
37,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,12281524,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
38,"Levitating (feat. DaBaby)","Dua Lipa",12030451,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
39,Volví,Aventura,11489351,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
40,"Todo De Ti","Rauw Alejandro",11391488,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
41,"Way 2 Sexy (with Future & Young Thug)",Drake,11310152,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
42,"Sweater Weather","The Neighbourhood",10939551,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
43,"I Love You So","The Walters",10876288,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
44,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,10828391,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
45,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",10701663,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
46,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",10526941,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
47,Nostálgico,Rvssian,10476861,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
48,"Don't Be Shy",Tiësto,10065689,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
49,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",9880773,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
50,"Praise God","Kanye West",9821168,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
51,"Take My Breath - Single Version","The Weeknd",9766668,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
52,"drivers license","Olivia Rodrigo",9756795,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
53,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",9475979,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
54,Butter,BTS,9393352,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
55,"Watermelon Sugar","Harry Styles",9288220,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
56,"Leave The Door Open","Bruno Mars",9186793,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
57,"Do It To It",ACRAZE,9049744,https://open.spotify.com/track/20on25jryn53hWghthWWW3
