,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,abcdefu,GAYLE,34440025,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
2,"STAY (with Justin Bieber)","The Kid LAROI",32652993,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"All I Want for Christmas Is You","Mariah Carey",32175593,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,"Easy On Me",Adele,31902027,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
5,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",28001110,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
6,"Last Christmas",Wham!,27077848,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
7,"Heat Waves","Glass Animals",26030908,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
8,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",25739303,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
9,"Cold Heart - PNAU Remix","Elton John",25452055,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
10,"Rockin' Around The Christmas Tree","Brenda Lee",22095540,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
11,"Jingle Bell Rock","Bobby Helms",21479503,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
12,"It's Beginning to Look a Lot like Christmas","Michael Bublé",21259884,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
13,Shivers,"Ed Sheeran",20745300,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
14,"Santa Tell Me","Ariana Grande",19655526,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
15,Pepas,Farruko,19361258,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
16,"Bad Habits","Ed Sheeran",18589071,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
17,"Do It To It",ACRAZE,18466988,https://open.spotify.com/track/20on25jryn53hWghthWWW3
18,"It's the Most Wonderful Time of the Year","Andy Williams",18034942,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
19,Woman,"Doja Cat",17724328,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
20,"My Universe",Coldplay,17147077,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
21,"good 4 u","Olivia Rodrigo",16881663,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
22,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",16343482,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
23,Snowman,Sia,16209878,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
24,"Feliz Navidad","José Feliciano",15099567,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
25,"I Hate U",SZA,14932298,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
26,"Underneath the Tree","Kelly Clarkson",14710827,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
27,"Kiss Me More (feat. SZA)","Doja Cat",14507847,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
28,"Girl Of My Dreams (with SUGA of BTS)","Juice WRLD",14460806,https://open.spotify.com/track/7DF8lvLdV3htIbuTWpc7lR
29,Mistletoe,"Justin Bieber",14426746,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
30,"MONTERO (Call Me By Your Name)","Lil Nas X",13971520,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
31,"Need to Know","Doja Cat",13929971,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
32,"Sleigh Ride","The Ronettes",13465849,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
33,"Wandered To LA (with Justin Bieber)","Juice WRLD",13399075,https://open.spotify.com/track/1cA4wEmLkKlttS6N89LbJh
34,Beggin',Måneskin,13335115,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
35,Infinity,"Jaymes Young",13288021,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
36,MONEY,LISA,13277040,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
37,"love nwantiti (ah ah ah)",CKay,13272219,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
38,Yonaguni,"Bad Bunny",13160281,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
39,Toxic,BoyWithUke,13065564,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
40,"Happier Than Ever","Billie Eilish",12935150,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
41,"Driving Home for Christmas - 2019 Remaster","Chris Rea",12718715,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
42,"Blinding Lights","The Weeknd",12619011,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
43,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",12583894,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
