,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",55453750,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Todo De Ti","Rauw Alejandro",36724452,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
3,Yonaguni,"Bad Bunny",35469556,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,"MONTERO (Call Me By Your Name)","Lil Nas X",35435892,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Kiss Me More (feat. SZA)","Doja Cat",32075907,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,Beggin',Måneskin,27823684,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
7,"deja vu","Olivia Rodrigo",26571354,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
8,"Levitating (feat. DaBaby)","Dua Lipa",26516920,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,Butter,BTS,26328478,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
10,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",25777255,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
11,"I WANNA BE YOUR SLAVE",Måneskin,23644384,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
12,"Qué Más Pues?","J Balvin",22441145,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
13,traitor,"Olivia Rodrigo",21400018,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
14,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",20752256,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
15,happier,"Olivia Rodrigo",20375649,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
16,"drivers license","Olivia Rodrigo",19809664,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
17,"Astronaut In The Ocean","Masked Wolf",18898955,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
18,"Leave The Door Open","Bruno Mars",18282744,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
19,"favorite crime","Olivia Rodrigo",17030825,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
20,"Pareja Del Año","Sebastian Yatra",16860792,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
21,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,16821688,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
22,RAPSTAR,"Polo G",16292918,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
23,"Build a Bitch","Bella Poarch",16013747,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
24,"Blinding Lights","The Weeknd",15951902,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
25,"ZITTI E BUONI",Måneskin,14242684,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
26,AM,"Nio Garcia",13791076,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
27,brutal,"Olivia Rodrigo",13552840,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
28,DÁKITI,"Bad Bunny",13282490,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
29,"Fiel - Remix",Wisin,13153301,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
30,"Watermelon Sugar","Harry Styles",12894792,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,Dynamite,BTS,12875666,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
32,"jealousy, jealousy","Olivia Rodrigo",12875603,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
33,Dinero,"Trinidad Cardona",12439988,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
34,Fiel,"Los Legendarios",12370541,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
35,"Heat Waves","Glass Animals",12227682,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
36,2/Catorce,"Rauw Alejandro",12171025,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
37,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",11996219,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
38,"The Business",Tiësto,11993893,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
39,"Heartbreak Anniversary",Giveon,11765750,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
40,Rasputin,Majestic,11391540,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
41,telepatía,"Kali Uchis",11267797,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
42,"Your Love (9PM)",ATB,11030484,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
43,"Mood (feat. iann dior)",24kGoldn,11025352,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
44,"Save Your Tears","The Weeknd",10910346,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
45,"EL MAKINON","KAROL G",10903221,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
46,"Botella Tras Botella","Gera MX",10636761,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
47,"Wants and Needs (feat. Lil Baby)",Drake,10603025,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
48,Miénteme,TINI,10451636,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
49,"Lost Cause","Billie Eilish",10284087,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
50,"enough for you","Olivia Rodrigo",10184416,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
51,"Don't Start Now","Dua Lipa",9578187,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
52,BED,"Joel Corry",9569684,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
53,Arcade,"Duncan Laurence",9368514,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
54,"Someone You Loved","Lewis Capaldi",9287246,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"Goosebumps - Remix","Travis Scott",9240253,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
56,"Need to Know","Doja Cat",9236745,https://open.spotify.com/track/10hcDov7xmcRviA8jLwEaI
57,"Solar Power",Lorde,9181079,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
58,"Hold On","Justin Bieber",9033272,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
59,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,9017530,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
60,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,8978241,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
61,Bandido,"Myke Towers",8899295,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
62,"1 step forward, 3 steps back","Olivia Rodrigo",8828932,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
63,Run,OneRepublic,8606815,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
64,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,8575085,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
65,"Sweater Weather","The Neighbourhood",8532125,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
66,"Head & Heart (feat. MNEK)","Joel Corry",8510198,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
67,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",8461348,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
68,Up,"Cardi B",8375915,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
69,"LA NOCHE DE ANOCHE","Bad Bunny",8268940,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
70,"Dance Monkey","Tones And I",8153732,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
71,"Sal y Perrea",Sech,8152630,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
72,"WITHOUT YOU","The Kid LAROI",8117881,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
73,"Thot Shit","Megan Thee Stallion",8077290,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
74,Freaks,"Surf Curse",8021702,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
75,512,Mora,8008819,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
76,Holiday,KSI,8004763,https://open.spotify.com/track/6nV2dFZXpv1JlqDWBeTXRl
77,"Ramenez la coupe à la maison",Vegedream,7961851,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
78,"Talking to the Moon","Bruno Mars",7744796,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
79,911,Sech,7651117,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
80,"Ram Pam Pam","Natti Natasha",7592672,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
81,Levitating,"Dua Lipa",7561480,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
82,positions,"Ariana Grande",7546258,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
83,Runaway,AURORA,7523537,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
84,Streets,"Doja Cat",7481627,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
85,"Best Friend (feat. Doja Cat)",Saweetie,7477264,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
86,"Iko Iko (My Bestie)","Justin Wellington",7449235,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
87,"We're Good","Dua Lipa",7417017,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
88,Circles,"Post Malone",7331009,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
89,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,7318220,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
90,"Before You Go","Lewis Capaldi",7268655,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
91,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",7259815,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
92,"hope ur ok","Olivia Rodrigo",7222314,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
93,"Roses - Imanbek Remix","SAINt JHN",7191186,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
94,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",7044719,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
95,Alcohol-Free,TWICE,7019479,https://open.spotify.com/track/3iPbmpKBMflYd7UjdYftoj
96,"you broke me first","Tate McRae",6982965,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
97,LUMBERJACK,"Tyler, The Creator",6976734,https://open.spotify.com/track/64v1g2HcPumBz2Wd1rT56b
98,"lovely (with Khalid)","Billie Eilish",6915724,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
99,"Cover Me In Sunshine",P!nk,6910067,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
100,"Having Our Way (feat. Drake)",Migos,6901976,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
101,"Poblado - Remix","J Balvin",6895370,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
102,Poblado,Crissin,6893939,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
103,Believer,"Imagine Dragons",6829734,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
104,"Calling My Phone","Lil Tjay",6747001,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
105,34+35,"Ariana Grande",6710768,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
106,"Another Love","Tom Odell",6687423,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
107,"late at night","Roddy Ricch",6671740,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
108,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6625978,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
109,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",6622513,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
110,Bipolar,"Mc Davi",6477223,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
111,Heather,"Conan Gray",6431698,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
112,"Paradise (feat. Dermot Kennedy)",MEDUZA,6425649,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
113,"Wasted Love (feat. Lagique)",Ofenbach,6356211,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
114,"Dick (feat. Doja Cat)",StarBoi3,6352967,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
115,Señorita,"Shawn Mendes",6341046,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
116,"Hecha Pa' Mi",Boza,6308369,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
117,Memories,"Maroon 5",6247041,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
118,"Shape of You","Ed Sheeran",6227781,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
119,"By Your Side (feat. Tom Grennan)","Calvin Harris",6226352,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
120,"Ball If I Want To",DaBaby,6185687,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
121,"Your Power","Billie Eilish",6178752,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
122,malibu,sangiovanni,6165687,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
123,Reloj,"Rauw Alejandro",6154459,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
