,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Beggin',Måneskin,48633449,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,"STAY (with Justin Bieber)","The Kid LAROI",47248719,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"good 4 u","Olivia Rodrigo",40162559,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
4,"Bad Habits","Ed Sheeran",37799456,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",33948454,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
6,"MONTERO (Call Me By Your Name)","Lil Nas X",30071134,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,"Kiss Me More (feat. SZA)","Doja Cat",29356736,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
8,"Todo De Ti","Rauw Alejandro",26951613,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
9,Yonaguni,"Bad Bunny",25030128,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
10,"I WANNA BE YOUR SLAVE",Måneskin,24551591,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
11,"Levitating (feat. DaBaby)","Dua Lipa",23518010,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,"Qué Más Pues?","J Balvin",22405111,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
13,"Permission to Dance",BTS,22062812,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",20294457,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,Butter,BTS,19985713,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
16,traitor,"Olivia Rodrigo",19480679,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
17,"deja vu","Olivia Rodrigo",18571755,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
18,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",18053141,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
19,"AM Remix","Nio Garcia",17617965,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
20,"Need to Know","Doja Cat",16908917,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
21,"Volando - Remix",Mora,16606925,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
22,"Ain't Shit","Doja Cat",16126897,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
23,"drivers license","Olivia Rodrigo",15684978,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
24,"Heat Waves","Glass Animals",15089184,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
25,"Blinding Lights","The Weeknd",15011809,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,happier,"Olivia Rodrigo",14849078,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
27,Pepas,Farruko,14809458,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
28,"Motley Crew","Post Malone",14329162,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
29,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,14273637,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
30,"Astronaut In The Ocean","Masked Wolf",14174752,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
31,"Leave The Door Open","Bruno Mars",13963568,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
32,"Don't Go Yet","Camila Cabello",13205250,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
33,"favorite crime","Olivia Rodrigo",12818935,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
34,"Pareja Del Año","Sebastian Yatra",12572307,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
35,"Watermelon Sugar","Harry Styles",11996689,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,"NOT SOBER (feat. Polo G & Stunna Gambino)","The Kid LAROI",11869336,https://open.spotify.com/track/1JXBNvlDEl2epKSJ9EOgKX
37,RAPSTAR,"Polo G",11683383,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
38,"You Right","Doja Cat",11629418,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
39,"911 - Remix",Sech,11553846,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
40,DÁKITI,"Bad Bunny",11524288,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
41,Miénteme,TINI,11477024,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
42,"jealousy, jealousy","Olivia Rodrigo",11287301,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
43,"Poblado - Remix","J Balvin",11283626,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
44,Dynamite,BTS,11196819,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
45,"The Business",Tiësto,10739770,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
46,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,10315460,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
47,"Mood (feat. iann dior)",24kGoldn,10222056,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
48,"Entre Nosotros","Tiago PZK",10215216,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
49,"Fiel - Remix",Wisin,10032746,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
50,"Build a Bitch","Bella Poarch",9841998,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
51,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,9799701,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
52,"Tiroteo - Remix","Marc Seguí",9781153,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
53,NDA,"Billie Eilish",9635619,https://open.spotify.com/track/6uqyE384HDSsuwpoF4mjrL
54,Rasputin,Majestic,9600707,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
55,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,9428494,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
