,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Beggin',Måneskin,51833305,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,"good 4 u","Olivia Rodrigo",50319030,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
3,"Bad Habits","Ed Sheeran",37303889,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
4,"MONTERO (Call Me By Your Name)","Lil Nas X",34334459,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Todo De Ti","Rauw Alejandro",33286977,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
6,Yonaguni,"Bad Bunny",33163336,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
7,"Kiss Me More (feat. SZA)","Doja Cat",31426239,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
8,"I WANNA BE YOUR SLAVE",Måneskin,28083554,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
9,"Qué Más Pues?","J Balvin",26352868,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
10,"Levitating (feat. DaBaby)","Dua Lipa",26195815,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
11,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",23725509,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
12,"deja vu","Olivia Rodrigo",23706623,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
13,Butter,BTS,23229255,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
14,"AM Remix","Nio Garcia",23042972,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
15,traitor,"Olivia Rodrigo",20952576,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
16,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",20640230,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
17,"You Right","Doja Cat",19738847,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
18,happier,"Olivia Rodrigo",18998490,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
19,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,18555226,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
20,"drivers license","Olivia Rodrigo",18074652,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
21,"Leave The Door Open","Bruno Mars",17397969,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
22,"Astronaut In The Ocean","Masked Wolf",16859296,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
23,"favorite crime","Olivia Rodrigo",16484193,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
24,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,15963923,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
25,"Blinding Lights","The Weeknd",15627686,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,"Pareja Del Año","Sebastian Yatra",14894327,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
27,"Build a Bitch","Bella Poarch",14015554,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
28,RAPSTAR,"Polo G",13969447,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
29,"jealousy, jealousy","Olivia Rodrigo",13225068,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
30,"Fiel - Remix",Wisin,13170668,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
31,DÁKITI,"Bad Bunny",13073573,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
32,"Watermelon Sugar","Harry Styles",12747127,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,"Poblado - Remix","J Balvin",12638129,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
34,"Heat Waves","Glass Animals",12457530,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
35,brutal,"Olivia Rodrigo",12086958,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
36,"ZITTI E BUONI",Måneskin,12037163,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
37,Dynamite,BTS,12016121,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
38,Dinero,"Trinidad Cardona",11855568,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
39,"The Business",Tiësto,11629827,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
40,2/Catorce,"Rauw Alejandro",11566494,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
41,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",11153403,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
42,Rasputin,Majestic,10983279,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
43,"Mood (feat. iann dior)",24kGoldn,10927768,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
44,"Your Love (9PM)",ATB,10743162,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
45,"Heartbreak Anniversary",Giveon,10733910,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
46,"Thot Shit","Megan Thee Stallion",10676414,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
47,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator",10360127,https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC
48,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,10195564,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
49,"Ain't Shit","Doja Cat",10086024,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
50,Miénteme,TINI,9967080,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
51,"Save Your Tears","The Weeknd",9926599,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
52,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,9563617,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
53,"EL MAKINON","KAROL G",9484000,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
54,"Don't Start Now","Dua Lipa",9299338,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
55,Fiel,"Los Legendarios",9253917,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
56,Run,OneRepublic,9212635,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
57,"Wants and Needs (feat. Lil Baby)",Drake,9113772,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
58,telepatía,"Kali Uchis",9033201,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
59,"Goosebumps - Remix","Travis Scott",8897348,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
60,"Someone You Loved","Lewis Capaldi",8880547,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,Arcade,"Duncan Laurence",8791238,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
62,"Botella Tras Botella","Gera MX",8769242,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
63,Freaks,"Surf Curse",8673605,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
64,"enough for you","Olivia Rodrigo",8389514,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
65,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,8377667,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
66,"Hold On","Justin Bieber",8313092,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
67,"Meu Pedaço de Pecado","João Gomes",8303653,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
68,"Ramenez la coupe à la maison",Vegedream,8291139,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
69,BED,"Joel Corry",8252974,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
70,"Sweater Weather","The Neighbourhood",8196101,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
71,Wrecked,"Imagine Dragons",8052694,https://open.spotify.com/track/2d1MywHy6FwKdzxFuSJnwl
72,512,Mora,8043733,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
73,"Dance Monkey","Tones And I",7979620,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
74,"Head & Heart (feat. MNEK)","Joel Corry",7973831,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
75,"Ram Pam Pam","Natti Natasha",7947321,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
76,"Sal y Perrea",Sech,7943316,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
77,"Need to Know","Doja Cat",7857482,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
78,"Iko Iko (My Bestie)","Justin Wellington",7695321,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
79,"Tiroteo - Remix","Marc Seguí",7625863,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
80,"2:50 Remix",MYA,7578180,https://open.spotify.com/track/74znaWw1hmQBusGPSOuTFy
81,Up,"Cardi B",7443285,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
82,"LA NOCHE DE ANOCHE","Bad Bunny",7413345,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
83,"1 step forward, 3 steps back","Olivia Rodrigo",7336600,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
84,"WITHOUT YOU","The Kid LAROI",7334545,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
85,"Talking to the Moon","Bruno Mars",7312005,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
86,Levitating,"Dua Lipa",7222572,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
87,Circles,"Post Malone",7204969,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
88,Reckless,"Madison Beer",7100828,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
89,"Roses - Imanbek Remix","SAINt JHN",7069253,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
90,Bandido,"Myke Towers",7025957,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
91,"Lost Cause","Billie Eilish",7024277,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
92,positions,"Ariana Grande",7013364,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
93,"We're Good","Dua Lipa",6972480,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
94,"Before You Go","Lewis Capaldi",6968949,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
95,911,Sech,6825127,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
96,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",6809642,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
97,"Best Friend (feat. Doja Cat)",Saweetie,6803092,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
98,"Shape of You","Ed Sheeran",6799207,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
99,Believer,"Imagine Dragons",6791783,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
100,Streets,"Doja Cat",6779287,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
101,"Wasting Time ( feat. Drake & The Neptunes )","Brent Faiyaz",6731106,https://open.spotify.com/track/48WidxP9CqyYtk97pwGZ3c
102,"By Your Side (feat. Tom Grennan)","Calvin Harris",6608824,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
103,"Não, Não Vou","Mari Fernandez",6587265,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
104,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",6576771,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
105,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,6504998,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
106,"lovely (with Khalid)","Billie Eilish",6503803,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
107,Runaway,AURORA,6495445,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
108,Perfect,"Ed Sheeran",6442063,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
109,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",6437159,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
110,"Little Bit of Love","Tom Grennan",6423678,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
111,"In Da Getto","J Balvin",6414152,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
112,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",6397305,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
113,Sommergewitter,Pashanim,6392139,https://open.spotify.com/track/2H7jZg2HliuQhZjfBblLrZ
