,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,57260673,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
2,"STAY (with Justin Bieber)","The Kid LAROI",35964727,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"Oh My God",Adele,33940387,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
4,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",31277431,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
5,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",31215681,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
6,"Cold Heart - PNAU Remix","Elton John",28043005,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
7,"Heat Waves","Glass Animals",26761841,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
8,Shivers,"Ed Sheeran",25129366,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
9,"Can I Get It",Adele,22611545,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
10,Pepas,Farruko,21976044,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
11,"My Little Love",Adele,21335150,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
12,"I Drink Wine",Adele,21250784,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
13,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",21091923,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
14,"Bad Habits","Ed Sheeran",20925275,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
15,"Smokin Out The Window","Bruno Mars",19956300,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
16,"Strangers By Nature",Adele,19508404,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
17,abcdefu,GAYLE,18885155,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
18,"My Universe",Coldplay,18674272,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
19,Woman,"Doja Cat",18194805,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
20,MONEY,LISA,18141332,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
21,"Cry Your Heart Out",Adele,17650939,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
22,"One Right Now (with The Weeknd)","Post Malone",17246908,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
23,"To Be Loved",Adele,17044691,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ
24,"love nwantiti (ah ah ah)",CKay,16412451,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
25,"Do It To It",ACRAZE,16412112,https://open.spotify.com/track/20on25jryn53hWghthWWW3
26,Toxic,BoyWithUke,15619335,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
27,"good 4 u","Olivia Rodrigo",15565913,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
28,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,15309141,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
29,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,14962084,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
30,"All Night Parking (with Erroll Garner) Interlude",Adele,14881944,https://open.spotify.com/track/496vIKS2INz840xZaKncvR
31,"Hold On",Adele,14794494,https://open.spotify.com/track/6bGMSP3H9YqkmaLnaJTIoF
32,"THATS WHAT I WANT","Lil Nas X",14695305,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
33,"Woman Like Me",Adele,14631993,https://open.spotify.com/track/2c6xRsQBv7pynuhYhWoHxo
34,"Need to Know","Doja Cat",14608344,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
35,Beggin',Måneskin,14528538,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
36,"Kiss Me More (feat. SZA)","Doja Cat",14207810,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
37,"MONTERO (Call Me By Your Name)","Lil Nas X",13819215,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
38,"Happier Than Ever","Billie Eilish",13651324,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
39,Ghost,"Justin Bieber",13647774,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
40,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",13487230,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
41,"All I Want for Christmas Is You","Mariah Carey",13419806,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
42,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,13202638,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
43,"Love Is A Game",Adele,12906942,https://open.spotify.com/track/2j3GxEsbNYNeEzz86wDY4J
44,"Where Are You Now","Lost Frequencies",12778270,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
45,"Blinding Lights","The Weeknd",12500989,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
46,Yonaguni,"Bad Bunny",12481842,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
47,"LA FAMA (with The Weeknd)",ROSALÍA,12238357,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
48,"Life Goes On","Oliver Tree",11820230,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
49,"Meet Me At Our Spot","THE ANXIETY",11801034,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
50,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,11427643,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
51,traitor,"Olivia Rodrigo",11331231,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
52,"I Love You So","The Walters",10831177,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
53,"Todo De Ti","Rauw Alejandro",10529683,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
54,"Already Dead","Juice WRLD",10466377,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
55,"Leave The Door Open","Bruno Mars",10323018,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
