,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,45999350,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
2,"STAY (with Justin Bieber)","The Kid LAROI",40952880,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",35868673,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
4,Shivers,"Ed Sheeran",31926382,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
5,"Bad Habits","Ed Sheeran",29146450,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
6,"Heat Waves","Glass Animals",28914541,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
7,"Cold Heart - PNAU Remix","Elton John",27056846,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
8,Pepas,Farruko,25177953,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
9,MONEY,LISA,24534462,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
10,"My Universe",Coldplay,22784601,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
11,Woman,"Doja Cat",21676842,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12,"love nwantiti (ah ah ah)",CKay,20108314,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
13,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",19773196,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
14,"Overpass Graffiti","Ed Sheeran",19584255,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
15,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,19519658,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
16,"THATS WHAT I WANT","Lil Nas X",18208929,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
17,"good 4 u","Olivia Rodrigo",18077549,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
18,"Need to Know","Doja Cat",17801187,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
19,Beggin',Måneskin,17721489,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
20,"MONTERO (Call Me By Your Name)","Lil Nas X",16617366,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
21,"Kiss Me More (feat. SZA)","Doja Cat",16421926,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
22,"Life Goes On","Oliver Tree",16151025,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
23,"Happier Than Ever","Billie Eilish",15725534,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
24,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,15156994,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
25,"Blinding Lights","The Weeknd",14038265,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,"Meet Me At Our Spot","THE ANXIETY",13434211,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
27,Yonaguni,"Bad Bunny",13333590,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
28,"Where Are You Now","Lost Frequencies",13277524,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
29,"Levitating (feat. DaBaby)","Dua Lipa",13057498,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
30,traitor,"Olivia Rodrigo",12983231,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
31,Ghost,"Justin Bieber",12476748,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
32,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,12388381,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
33,"Way 2 Sexy (with Future & Young Thug)",Drake,11999907,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
34,"Todo De Ti","Rauw Alejandro",11855525,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
35,Volví,Aventura,11843037,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
36,Toxic,BoyWithUke,11548495,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
37,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",11155738,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
38,"Don't Be Shy",Tiësto,10753700,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
39,"Sweater Weather","The Neighbourhood",10723029,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
40,Nostálgico,Rvssian,10567439,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
41,"Take My Breath - Single Version","The Weeknd",10551823,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
