,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",61564095,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,Beggin',Måneskin,40391324,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",39868624,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
4,"Bad Habits","Ed Sheeran",36835047,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"good 4 u","Olivia Rodrigo",34440020,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
6,"Happier Than Ever","Billie Eilish",32904896,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
7,"Take My Breath - Single Version","The Weeknd",26610944,https://open.spotify.com/track/6OGogr19zPTM4BALXuMQpF
8,"Kiss Me More (feat. SZA)","Doja Cat",26400469,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
9,"MONTERO (Call Me By Your Name)","Lil Nas X",26255732,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
10,Volví,Aventura,25261084,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
11,"Need to Know","Doja Cat",24905309,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
12,"Todo De Ti","Rauw Alejandro",24055680,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
13,Pepas,Farruko,23563881,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
14,"I WANNA BE YOUR SLAVE",Måneskin,22141329,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
15,Yonaguni,"Bad Bunny",21674116,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
16,"Qué Más Pues?","J Balvin",20396947,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
