,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Easy On Me",Adele,84952932,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
2,"STAY (with Justin Bieber)","The Kid LAROI",46083756,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",39049971,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
4,"Heat Waves","Glass Animals",30283212,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,"My Universe",Coldplay,27587042,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
6,Shivers,"Ed Sheeran",26564115,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
7,"Bad Habits","Ed Sheeran",26279377,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
8,MONEY,LISA,26216775,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
9,Pepas,Farruko,25757960,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
10,"Cold Heart - PNAU Remix","Elton John",25367124,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
11,Woman,"Doja Cat",23829367,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12,"love nwantiti (ah ah ah)",CKay,22218182,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
13,"good 4 u","Olivia Rodrigo",20532099,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
14,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,20255491,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
15,"THATS WHAT I WANT","Lil Nas X",20153669,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
16,Beggin',Måneskin,19917756,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
17,"Life Goes On","Oliver Tree",19128900,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,18991457,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
19,"Need to Know","Doja Cat",18861612,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
20,"MONTERO (Call Me By Your Name)","Lil Nas X",18679751,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
21,"Happier Than Ever","Billie Eilish",17201321,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
22,"Kiss Me More (feat. SZA)","Doja Cat",17019344,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
23,Yonaguni,"Bad Bunny",14191796,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
24,"Way 2 Sexy (with Future & Young Thug)",Drake,13959922,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
25,"Meet Me At Our Spot","THE ANXIETY",13873083,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
26,"Levitating (feat. DaBaby)","Dua Lipa",13686030,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,traitor,"Olivia Rodrigo",13536081,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
28,"Let Somebody Go",Coldplay,13425297,https://open.spotify.com/track/4cGqn0E8JCSY9gQllQj4Mf
29,"Todo De Ti","Rauw Alejandro",13050759,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
30,Volví,Aventura,12783596,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
31,"Blinding Lights","The Weeknd",12742776,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
32,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",12626839,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
33,"When We Were Young",Adele,12435738,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
34,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,12429471,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
35,"Where Are You Now","Lost Frequencies",12399474,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
36,"Rolling in the Deep",Adele,11967809,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
37,"Take My Breath - Single Version","The Weeknd",11871654,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
38,"Someone Like You",Adele,11817942,https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
39,"Fair Trade (with Travis Scott)",Drake,11482260,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
40,"Don't Be Shy",Tiësto,11172680,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
41,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",11088196,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
42,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",10741703,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
43,"In Da Getto","J Balvin",10615034,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
44,Ghost,"Justin Bieber",10580721,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
45,"drivers license","Olivia Rodrigo",10449358,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
46,"Love In The Dark",Adele,10439221,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
47,"I WANNA BE YOUR SLAVE",Måneskin,10413802,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
48,Índigo,Camilo,10353011,https://open.spotify.com/track/4knc1Fp3kbuq8bH2byOvLu
49,"Sweater Weather","The Neighbourhood",10160709,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
50,"Qué Más Pues?","J Balvin",10137850,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
51,"Bubbly (with Drake & Travis Scott)","Young Thug",9995272,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui
52,Nostálgico,Rvssian,9732983,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
53,2055,"Sleepy Hallow",9645355,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
54,Butter,BTS,9581614,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
55,Cúrame,"Rauw Alejandro",9523767,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
56,Sobrio,Maluma,9465001,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
57,"Ley Seca","Jhay Cortez",9335587,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
58,LALISA,LISA,9331514,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
59,"Get Into It (Yuh)","Doja Cat",9319246,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
60,"Don't Go Yet","Camila Cabello",9234554,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
61,"Set Fire to the Rain",Adele,9183397,https://open.spotify.com/track/7j4OmvkjRz0PrjFADlHfQx
62,"Watermelon Sugar","Harry Styles",9167444,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
63,Bored,"Billie Eilish",9091640,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
64,"Volando - Remix",Mora,9063193,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
65,"deja vu","Olivia Rodrigo",8696677,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
66,"AM Remix","Nio Garcia",8622802,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
67,DÁKITI,"Bad Bunny",8586080,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
68,"Leave The Door Open","Bruno Mars",8573139,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
69,"The Feels",TWICE,8481885,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY
70,"Happier Than Ever - Edit","Billie Eilish",8274552,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
71,París,Ingratax,8101371,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
72,"Girls Want Girls (with Lil Baby)",Drake,8072434,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
73,"Someone You Loved","Lewis Capaldi",8069768,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
74,"Mood (feat. iann dior)",24kGoldn,8069341,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
75,"I Love You So","The Walters",7974236,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
76,Dynamite,BTS,7942686,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
77,Hurricane,"Kanye West",7936922,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
78,"Dark Red","Steve Lacy",7844502,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
79,"Coração Cachorro","Avine Vinny",7807279,https://open.spotify.com/track/2RGIuYTsyyHoOCqW0krvNE
80,"Don't Start Now","Dua Lipa",7785075,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
81,"edamame (feat. Rich Brian)",bbno$,7781807,https://open.spotify.com/track/5rW7qTn83sCKtqBoneJs63
82,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,7724324,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
83,happier,"Olivia Rodrigo",7711834,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
84,WFM,RealestK,7672659,https://open.spotify.com/track/18ddJHQ7CUzNBiy55L0Xjj
85,"family ties (with Kendrick Lamar)","Baby Keem",7473920,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
86,"lovely (with Khalid)","Billie Eilish",7449278,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
87,"Permission to Dance",BTS,7446633,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
88,"Send My Love (To Your New Lover)",Adele,7360919,https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN
89,Freaks,"Surf Curse",7324776,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
90,"Está Dañada","Ivan Cornejo",7285436,https://open.spotify.com/track/6G2xXQRSZlEzYsUEb3uvuR
91,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey",7283226,https://open.spotify.com/track/5W8HXMOMLtXLz0RGKUtnlZ
92,"I GUESS I'M IN LOVE","Clinton Kane",7133005,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
93,Ateo,"C. Tangana",7110873,https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11
94,"Praise God","Kanye West",7093443,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
95,"Entre Nosotros","Tiago PZK",7066012,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
96,MAMMAMIA,Måneskin,7061419,https://open.spotify.com/track/78SCmQ8A7KQSMdkem2SwBP
97,"The Business",Tiësto,7048589,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
98,Miénteme,TINI,6998135,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
99,"Like I Can","Sam Smith",6983885,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
100,"Arranhão - Ao Vivo","Henrique & Juliano",6973390,https://open.spotify.com/track/4u06FbRh6FvV2FQZkouzCw
101,Yellow,Coldplay,6947326,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
102,"Astronaut In The Ocean","Masked Wolf",6920310,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
103,"Chasing Pavements",Adele,6904217,https://open.spotify.com/track/0Z5ok0QLLttAKsujOZYOXf
104,"Jugaste y Sufrí","Eslabon Armado",6863230,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
105,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,6841584,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
106,Perfect,"Ed Sheeran",6818865,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
107,"Save Your Tears","The Weeknd",6813847,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
108,"Tiroteo - Remix","Marc Seguí",6810951,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
109,"Love Tonight - Edit",Shouse,6790958,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
110,"Love Again","Dua Lipa",6789527,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
111,"Chosen (feat. Ty Dolla $ign)",Blxst,6745272,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
112,"Before You Go","Lewis Capaldi",6735548,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
113,Believer,"Imagine Dragons",6728739,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
