,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",77001868,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Todo De Ti","Rauw Alejandro",47564794,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
3,Butter,BTS,43335561,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
4,"deja vu","Olivia Rodrigo",38689290,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
5,"MONTERO (Call Me By Your Name)","Lil Nas X",37726845,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
6,"Kiss Me More (feat. SZA)","Doja Cat",36559450,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
7,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",31295523,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
8,traitor,"Olivia Rodrigo",30126699,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
9,"drivers license","Olivia Rodrigo",29159682,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
10,"Levitating (feat. DaBaby)","Dua Lipa",28790897,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
11,"favorite crime","Olivia Rodrigo",23590447,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
12,"ZITTI E BUONI",Måneskin,23017312,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
13,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",22645140,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
14,"Astronaut In The Ocean","Masked Wolf",22522270,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
15,brutal,"Olivia Rodrigo",22467899,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
16,happier,"Olivia Rodrigo",22359732,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
17,"Leave The Door Open","Bruno Mars",22042893,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
18,Fiel,"Los Legendarios",21823643,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
19,"Pareja Del Año","Sebastian Yatra",21170884,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
20,"enough for you","Olivia Rodrigo",19803175,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
21,"Build a Bitch","Bella Poarch",19087081,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
22,RAPSTAR,"Polo G",18191446,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
23,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,18032506,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
24,"I WANNA BE YOUR SLAVE",Måneskin,17790440,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
25,AM,"Nio Garcia",17196023,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
26,"jealousy, jealousy","Olivia Rodrigo",17153135,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
27,"Blinding Lights","The Weeknd",17135985,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,"1 step forward, 3 steps back","Olivia Rodrigo",16885576,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
