,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",68911998,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Todo De Ti","Rauw Alejandro",46247362,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
3,Yonaguni,"Bad Bunny",45173496,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,"MONTERO (Call Me By Your Name)","Lil Nas X",36198180,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Kiss Me More (feat. SZA)","Doja Cat",34577241,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,Butter,BTS,34510308,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
7,"deja vu","Olivia Rodrigo",33668346,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",28916301,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,"Levitating (feat. DaBaby)","Dua Lipa",28453090,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
10,traitor,"Olivia Rodrigo",26344058,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
11,"drivers license","Olivia Rodrigo",25474509,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
12,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",22599781,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
13,happier,"Olivia Rodrigo",22204151,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
14,"favorite crime","Olivia Rodrigo",21374168,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
15,"Lost Cause","Billie Eilish",21178280,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
16,"Astronaut In The Ocean","Masked Wolf",20935734,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
17,"Leave The Door Open","Bruno Mars",20711339,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
18,Fiel,"Los Legendarios",20561529,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
19,"Pareja Del Año","Sebastian Yatra",20108878,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
20,"Build a Bitch","Bella Poarch",18739396,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
21,brutal,"Olivia Rodrigo",18463857,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
22,"I WANNA BE YOUR SLAVE",Måneskin,18197815,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
23,"ZITTI E BUONI",Måneskin,17720989,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
24,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,17377168,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
25,"Blinding Lights","The Weeknd",16791016,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,RAPSTAR,"Polo G",16469205,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
27,AM,"Nio Garcia",16415477,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
28,DÁKITI,"Bad Bunny",15590654,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
29,"jealousy, jealousy","Olivia Rodrigo",15279462,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
30,"enough for you","Olivia Rodrigo",15126774,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
31,2/Catorce,"Rauw Alejandro",14630077,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
32,Dynamite,BTS,14119042,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
33,"The Business",Tiësto,13778352,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
34,"Qué Más Pues?","J Balvin",13305837,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
35,"1 step forward, 3 steps back","Olivia Rodrigo",13253813,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
36,"Watermelon Sugar","Harry Styles",12887004,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
37,telepatía,"Kali Uchis",12861528,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
38,"Heartbreak Anniversary",Giveon,12816838,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
39,"Botella Tras Botella","Gera MX",12674593,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
40,"EL MAKINON","KAROL G",12341026,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
41,"Heat Waves","Glass Animals",12324337,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
42,"Save Your Tears","The Weeknd",12224482,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
43,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",12135359,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
44,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",11994752,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
45,"Your Love (9PM)",ATB,11883603,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
46,Rasputin,Majestic,11662534,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
47,"Mood (feat. iann dior)",24kGoldn,11328216,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
48,Miénteme,TINI,11311350,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
49,"hope ur ok","Olivia Rodrigo",11053947,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
50,Arcade,"Duncan Laurence",10742331,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
51,Bandido,"Myke Towers",10569932,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
52,"Goosebumps - Remix","Travis Scott",10549808,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
53,"Hold On","Justin Bieber",10398521,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
54,BED,"Joel Corry",10180929,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
55,"Don't Start Now","Dua Lipa",10086275,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
56,512,Mora,9746227,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
57,"Someone You Loved","Lewis Capaldi",9677519,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
58,"late at night","Roddy Ricch",9624634,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
59,"Sal y Perrea",Sech,9531366,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
60,"Your Power","Billie Eilish",9446348,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
61,Up,"Cardi B",9333522,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
62,"LA NOCHE DE ANOCHE","Bad Bunny",9307268,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
63,"Head & Heart (feat. MNEK)","Joel Corry",9284672,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
64,911,Sech,9262171,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
65,"Wants and Needs (feat. Lil Baby)",Drake,9255774,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
66,Poblado,Crissin,9126594,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
67,Streets,"Doja Cat",9120680,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
68,Beggin',Måneskin,8949089,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
69,"WITHOUT YOU","The Kid LAROI",8838216,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
70,"We're Good","Dua Lipa",8718567,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
71,"Sweater Weather","The Neighbourhood",8635720,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
72,Runaway,AURORA,8602701,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
73,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",8532569,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
74,"Talking to the Moon","Bruno Mars",8452664,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
75,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,8314201,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
76,positions,"Ariana Grande",8287218,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
77,"Dance Monkey","Tones And I",8231300,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
78,Levitating,"Dua Lipa",8212498,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
79,Run,OneRepublic,8200405,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
80,"By Your Side (feat. Tom Grennan)","Calvin Harris",8050173,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
81,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,7872532,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
82,"Best Friend (feat. Doja Cat)",Saweetie,7804960,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
83,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",7786136,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
84,"m y . l i f e (with 21 Savage & Morray)","J. Cole",7713097,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
85,"Calling My Phone","Lil Tjay",7693420,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
86,"Roses - Imanbek Remix","SAINt JHN",7670380,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
87,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,7668885,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
88,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",7668614,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
89,"Dick (feat. Doja Cat)",StarBoi3,7642986,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
90,"Ram Pam Pam","Natti Natasha",7630635,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
91,Bipolar,"Mc Davi",7603641,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
92,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",7557578,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
93,Freaks,"Surf Curse",7493205,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
94,"Hecha Pa' Mi",Boza,7451172,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
95,"lovely (with Khalid)","Billie Eilish",7342723,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
96,34+35,"Ariana Grande",7336700,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
97,"Hats Off (feat. Travis Scott)","Lil Baby",7324233,https://open.spotify.com/track/4lUmnwRybYH7mMzf16xB0y
98,"Cover Me In Sunshine",P!nk,7317847,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
99,Reloj,"Rauw Alejandro",7100300,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
100,Circles,"Post Malone",7060619,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
101,"you broke me first","Tate McRae",7039287,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
102,"Before You Go","Lewis Capaldi",6976015,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
