,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",48121006,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",40784125,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"Heat Waves","Glass Animals",30179865,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,"Bad Habits","Ed Sheeran",26881618,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,Pepas,Farruko,26767707,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
6,Shivers,"Ed Sheeran",25265408,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
7,Woman,"Doja Cat",24464198,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,"My Universe",Coldplay,24081668,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
9,MONEY,LISA,23895854,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
10,"Cold Heart - PNAU Remix","Elton John",23314757,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
11,"love nwantiti (ah ah ah)",CKay,22746839,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
12,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,22347970,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
13,"good 4 u","Olivia Rodrigo",21408273,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
14,Beggin',Måneskin,21387312,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
15,"THATS WHAT I WANT","Lil Nas X",21183958,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
16,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,20081217,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
17,"Life Goes On","Oliver Tree",19778359,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
18,"MONTERO (Call Me By Your Name)","Lil Nas X",19727824,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
19,"Need to Know","Doja Cat",19608228,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
20,"Happier Than Ever","Billie Eilish",18221604,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
21,"Kiss Me More (feat. SZA)","Doja Cat",17465717,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
22,"Way 2 Sexy (with Future & Young Thug)",Drake,15465015,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
23,Yonaguni,"Bad Bunny",14985948,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
24,traitor,"Olivia Rodrigo",14061400,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
25,"Levitating (feat. DaBaby)","Dua Lipa",13886985,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,"Todo De Ti","Rauw Alejandro",13785297,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
27,Volví,Aventura,13668756,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
28,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,13371705,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
29,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",13341187,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
30,"Meet Me At Our Spot","THE ANXIETY",13059339,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
31,"Fair Trade (with Travis Scott)",Drake,12869065,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
32,"Blinding Lights","The Weeknd",12791905,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"Take My Breath - Single Version","The Weeknd",11792421,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
34,"Where Are You Now","Lost Frequencies",11710324,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
35,"In Da Getto","J Balvin",11668381,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
36,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",11417801,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
37,"I WANNA BE YOUR SLAVE",Måneskin,11361420,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
38,"Don't Be Shy",Tiësto,11182307,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
39,"Qué Más Pues?","J Balvin",11137254,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
40,"drivers license","Olivia Rodrigo",11052074,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
41,2055,"Sleepy Hallow",10726732,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
42,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",10642295,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
43,LALISA,LISA,10609495,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
44,Cúrame,"Rauw Alejandro",10360853,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
45,"Get Into It (Yuh)","Doja Cat",10307135,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
46,Butter,BTS,10281503,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
47,"Sweater Weather","The Neighbourhood",10022681,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
48,MAMMAMIA,Måneskin,9947279,https://open.spotify.com/track/78SCmQ8A7KQSMdkem2SwBP
49,Sobrio,Maluma,9856302,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
50,"Ley Seca","Jhay Cortez",9769953,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
51,Bored,"Billie Eilish",9702195,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
52,"AM Remix","Nio Garcia",9481702,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
53,Nostálgico,Rvssian,9468823,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
