,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",43029667,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM
2,"MONTERO (Call Me By Your Name)","Lil Nas X",40805633,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
3,"Kiss Me More (feat. SZA)","Doja Cat",37723231,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",35908730,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
5,"Levitating (feat. DaBaby)","Dua Lipa",30358414,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"m y . l i f e (with 21 Savage & Morray)","J. Cole",25215473,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
7,"deja vu","Olivia Rodrigo",24953343,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
8,"Astronaut In The Ocean","Masked Wolf",24605382,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
9,"Leave The Door Open","Bruno Mars",23999529,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"a m a r i","J. Cole",23579509,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
11,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",22934823,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
12,Fiel,"Los Legendarios",22522039,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
13,"Pareja Del Año","Sebastian Yatra",21273759,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
14,RAPSTAR,"Polo G",21241311,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
15,"i n t e r l u d e","J. Cole",20117260,https://open.spotify.com/track/08LwMWf5Tcfsd752EPzFV0
16,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",19905105,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
17,"drivers license","Olivia Rodrigo",19833615,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
18,"9 5 . s o u t h","J. Cole",19610820,https://open.spotify.com/track/5R691ipUYRDYW6ehapjoj6
19,AM,"Nio Garcia",19361444,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
20,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",18311771,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
21,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,17639674,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
22,"Your Power","Billie Eilish",17553439,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
23,"Blinding Lights","The Weeknd",17308057,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,"Heartbreak Anniversary",Giveon,16652106,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
25,"a p p l y i n g . p r e s s u r e","J. Cole",15967986,https://open.spotify.com/track/1d7q712nXjG98HiwHk7HFS
26,telepatía,"Kali Uchis",15691300,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
27,"l e t . g o . m y . h a n d (with Bas & 6LACK)","J. Cole",15408703,https://open.spotify.com/track/0GAyuCo975IHGxxiLKDufB
28,"The Business",Tiësto,15351555,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
29,DÁKITI,"Bad Bunny",15217757,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
30,"1 0 0 . m i l ‘ (with Bas)","J. Cole",15171655,https://open.spotify.com/track/4n6NDfYake476trCjJRNl0
31,"Botella Tras Botella","Gera MX",14269474,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
32,"p u n c h i n ‘ . t h e . c l o c k","J. Cole",14051831,https://open.spotify.com/track/57ZUX6TNyKLBydAdVVd02x
33,Runaway,AURORA,13689591,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
34,"Save Your Tears","The Weeknd",13181318,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
35,"EL MAKINON","KAROL G",12922942,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
36,"t h e . c l i m b . b a c k","J. Cole",12648655,https://open.spotify.com/track/5lLNBIyjp72btcnrjBG751
37,"Heat Waves","Glass Animals",12642537,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
38,"Hold On","Justin Bieber",12627367,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
39,Up,"Cardi B",12563082,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
40,"Mood (feat. iann dior)",24kGoldn,12469406,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
41,"Build a Bitch","Bella Poarch",12238552,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
42,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",12107473,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
43,"Your Love (9PM)",ATB,12103889,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
44,"Watermelon Sugar","Harry Styles",12017143,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
45,Arcade,"Duncan Laurence",11840154,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
46,Bandido,"Myke Towers",11807260,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
47,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",11663465,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
48,"h u n g e r . o n . h i l l s i d e (with Bas)","J. Cole",11647489,https://open.spotify.com/track/5BwQjRasNcdRPuVWKcHto2
49,"Goosebumps - Remix","Travis Scott",11315577,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
50,"WITHOUT YOU","The Kid LAROI",11309126,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
51,Streets,"Doja Cat",11287479,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
52,Dynamite,BTS,11021901,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
53,911,Sech,10763129,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
54,"Don't Start Now","Dua Lipa",10760651,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
55,"c l o s e","J. Cole",10712648,https://open.spotify.com/track/4YiY551vHi6glMtgVxuqAy
56,BED,"Joel Corry",10641066,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
