,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Sweater Weather","The Neighbourhood",9040749,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
55,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",8900457,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
56,"Best Friend (feat. Doja Cat)",Saweetie,8809703,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
57,"Paradise (feat. Dermot Kennedy)",MEDUZA,8707858,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
58,"Wants and Needs (feat. Lil Baby)",Drake,8657513,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
59,"Cover Me In Sunshine",P!nk,8624504,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
60,"Good Days",SZA,8619878,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
61,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",8582130,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
62,"Dance Monkey","Tones And I",8580681,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
63,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,8463728,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
64,"Hecha Pa' Mi",Boza,8339921,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
65,Levitating,"Dua Lipa",8080320,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
66,34+35,"Ariana Grande",7998334,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
67,"Ella No Es Tuya - Remix","Rochy RD",7977929,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
68,"Roses - Imanbek Remix","SAINt JHN",7970590,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
69,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",7941332,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
70,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",7904110,https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
71,"lovely (with Khalid)","Billie Eilish",7882998,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
72,"NEVER LEFT","Lil Tecca",7784871,https://open.spotify.com/track/21UkXrc9kD48rNpTMI2ecz
73,"Before You Go","Lewis Capaldi",7739936,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
74,Anyone,"Justin Bieber",7726523,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
