,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",84131760,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,Butter,BTS,58122349,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
3,"deja vu","Olivia Rodrigo",45060633,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
4,"MONTERO (Call Me By Your Name)","Lil Nas X",38927630,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Kiss Me More (feat. SZA)","Doja Cat",36768939,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,"drivers license","Olivia Rodrigo",35848140,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
7,traitor,"Olivia Rodrigo",32922131,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",32353637,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,brutal,"Olivia Rodrigo",30556582,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
10,"Levitating (feat. DaBaby)","Dua Lipa",28979432,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
11,"enough for you","Olivia Rodrigo",27845206,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
12,happier,"Olivia Rodrigo",27142760,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
13,"1 step forward, 3 steps back","Olivia Rodrigo",24592939,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
14,"favorite crime","Olivia Rodrigo",24070591,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
15,"Astronaut In The Ocean","Masked Wolf",23264862,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
16,"Leave The Door Open","Bruno Mars",22690097,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
17,"jealousy, jealousy","Olivia Rodrigo",22369988,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
18,Fiel,"Los Legendarios",21593593,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
19,"ZITTI E BUONI",Måneskin,21154636,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
20,"Pareja Del Año","Sebastian Yatra",20460436,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
21,RAPSTAR,"Polo G",19854591,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
22,"hope ur ok","Olivia Rodrigo",19533407,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
23,Dynamite,BTS,19475201,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
24,"Build a Bitch","Bella Poarch",18356100,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
25,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",18204986,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
26,AM,"Nio Garcia",17946106,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
27,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,17117733,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
28,"Todo De Ti","Rauw Alejandro",16896242,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
29,"Blinding Lights","The Weeknd",16738448,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",16358920,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
31,"Heartbreak Anniversary",Giveon,14659346,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
32,DÁKITI,"Bad Bunny",14609463,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
33,telepatía,"Kali Uchis",14316943,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
34,"m y . l i f e (with 21 Savage & Morray)","J. Cole",14150394,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
35,"The Business",Tiësto,14105193,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
36,"Your Power","Billie Eilish",13838465,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
37,"Botella Tras Botella","Gera MX",13485730,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
38,"EL MAKINON","KAROL G",13374410,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
39,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",12700964,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
40,Arcade,"Duncan Laurence",12677490,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
41,"Save Your Tears","The Weeknd",12554090,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
42,2/Catorce,"Rauw Alejandro",12511061,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
43,"Heat Waves","Glass Animals",12377323,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
44,"Mood (feat. iann dior)",24kGoldn,12115602,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
45,Runaway,AURORA,12041898,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
46,"Watermelon Sugar","Harry Styles",11888433,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
47,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",11873308,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
48,"Your Love (9PM)",ATB,11671053,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
49,"Hold On","Justin Bieber",11303990,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
50,Up,"Cardi B",11063510,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
51,Bandido,"Myke Towers",11016124,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
52,"a m a r i","J. Cole",10837186,https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX
53,"Goosebumps - Remix","Travis Scott",10799786,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
54,"SUN GOES DOWN","Lil Nas X",10676039,https://open.spotify.com/track/34eF4BoV8FPk0uhAAoqU7h
55,"WITHOUT YOU","The Kid LAROI",10372619,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
56,"Life Goes On",BTS,10317842,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
57,Rasputin,Majestic,10303325,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
58,"Someone You Loved","Lewis Capaldi",10231290,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
59,BED,"Joel Corry",10221583,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
60,"Don't Start Now","Dua Lipa",10196961,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
61,Streets,"Doja Cat",10139217,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
