,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",68764542,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",43663527,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
3,"Bad Habits","Ed Sheeran",34182580,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
4,Beggin',Måneskin,32620597,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
5,Hurricane,"Kanye West",30609671,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
6,Pepas,Farruko,29398007,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
7,"good 4 u","Olivia Rodrigo",29366737,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
8,"Need to Know","Doja Cat",28000403,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
9,Woman,"Doja Cat",26632882,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
10,Jail,"Kanye West",24792859,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK
11,"Happier Than Ever","Billie Eilish",24448545,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
12,"Off The Grid","Kanye West",24302344,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
13,"MONTERO (Call Me By Your Name)","Lil Nas X",23040130,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
14,"Kiss Me More (feat. SZA)","Doja Cat",22451916,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
15,"Todo De Ti","Rauw Alejandro",20724487,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
16,"Praise God","Kanye West",19702684,https://open.spotify.com/track/0Zm7NKJgoKY6ZWwtoEUILK
17,"Heat Waves","Glass Animals",19628570,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
18,Volví,Aventura,18925587,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
19,Moon,"Kanye West",18904930,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
20,Yonaguni,"Bad Bunny",18618312,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
21,"I WANNA BE YOUR SLAVE",Måneskin,17808726,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
22,"Take My Breath - Single Version","The Weeknd",17722841,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
23,"Qué Más Pues?","J Balvin",17110678,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
24,"Levitating (feat. DaBaby)","Dua Lipa",17032677,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
25,traitor,"Olivia Rodrigo",16858476,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
26,"Believe What I Say","Kanye West",16052001,https://open.spotify.com/track/73uxnSsFMeJ15POpd3zgrV
27,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",15563753,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
28,Jonah,"Kanye West",15535805,https://open.spotify.com/track/3gWzTnziivUYzqXtnvgN8q
29,"God Breathed","Kanye West",15309684,https://open.spotify.com/track/1dPNJDYuW9QAtkOpK3eBvO
30,"Ok Ok","Kanye West",14811311,https://open.spotify.com/track/4VYEnxm7lmtG5sEEbcmORB
31,Butter,BTS,14565825,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
32,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",14237777,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
33,"Butter (Megan Thee Stallion Remix)",BTS,13960331,https://open.spotify.com/track/3JR0ducCexKbeK47g6AHm5
34,"Heaven and Hell","Kanye West",13876358,https://open.spotify.com/track/2ZUJsR8HEktit58X6FuPQM
35,"Blinding Lights","The Weeknd",13820934,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
36,"family ties (with Kendrick Lamar)","Baby Keem",13819716,https://open.spotify.com/track/7Bpx2vsWfQFBACRz4h3IqH
37,"No Child Left Behind","Kanye West",13621927,https://open.spotify.com/track/3onYsG7nB3FwEVHYYWCrIM
