,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",65706259,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"Girls Want Girls (with Lil Baby)",Drake,45594878,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
3,"Fair Trade (with Travis Scott)",Drake,43845716,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
4,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",42154185,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
5,"Way 2 Sexy (with Future & Young Thug)",Drake,38422223,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
6,"Champagne Poetry",Drake,34053174,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
7,"Bad Habits","Ed Sheeran",32477559,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
8,Beggin',Måneskin,29650985,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
9,Pepas,Farruko,29585088,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
10,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,28347807,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
11,Woman,"Doja Cat",27507841,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12,"Papi’s Home",Drake,27368851,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX
13,Hurricane,"Kanye West",27212883,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
14,"good 4 u","Olivia Rodrigo",26877818,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
15,TSU,Drake,26226066,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW
16,"In The Bible (with Lil Durk & Giveon)",Drake,26043915,https://open.spotify.com/track/61S79KIVA4I9FXbnsylEHT
17,"Love All (with JAY-Z)",Drake,25554209,https://open.spotify.com/track/4VCbgIdr8ptegWeJpqLVHH
18,"Need to Know","Doja Cat",25440855,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
19,"Heat Waves","Glass Animals",24827159,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
20,"No Friends In The Industry",Drake,23993346,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6
21,"Happier Than Ever","Billie Eilish",22684148,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
22,"N 2 Deep",Drake,22025962,https://open.spotify.com/track/34D6FJysnQioVingDKufuf
23,"MONTERO (Call Me By Your Name)","Lil Nas X",21529938,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
24,"Kiss Me More (feat. SZA)","Doja Cat",20896669,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
25,"Todo De Ti","Rauw Alejandro",19097158,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
26,"Pipe Down",Drake,18888249,https://open.spotify.com/track/11pEKMLmavDu8fxOB5QjbQ
27,"7am On Bridle Path",Drake,18180843,https://open.spotify.com/track/42m3eP1JJhtzffal9B136J
28,Volví,Aventura,17626028,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
29,Yonaguni,"Bad Bunny",17385575,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
30,"Race My Mind",Drake,17035250,https://open.spotify.com/track/2Q3jFbyE61mCjS3SkW4toJ
31,"IMY2 (with Kid Cudi)",Drake,16808455,https://open.spotify.com/track/7F9cT6hIRhnFCYP6GKS0tf
32,"Off The Grid","Kanye West",16413179,https://open.spotify.com/track/2gbMPBrBVj3CuNTLp2dHYs
33,"I WANNA BE YOUR SLAVE",Måneskin,16188501,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
34,"Fountains (with Tems)",Drake,16082820,https://open.spotify.com/track/08XWh5c0BMyD1nKVxxl91z
35,"Levitating (feat. DaBaby)","Dua Lipa",16076912,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
36,"Take My Breath - Single Version","The Weeknd",15826162,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
37,"Yebba’s Heartbreak",Drake,15567041,https://open.spotify.com/track/1PDP7mLiAMwhfmgIwzhOm2
38,"Qué Más Pues?","J Balvin",15558142,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
39,traitor,"Olivia Rodrigo",15470078,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
40,"You Only Live Twice (with Lil Wayne & Rick Ross)",Drake,15443086,https://open.spotify.com/track/50ceCGZ3oD3U5caQV5bP6f
41,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",14792207,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
42,"Get Along Better",Drake,13919809,https://open.spotify.com/track/5ScbulRnixQ2XAdvrPMFjz
43,Moon,"Kanye West",13386308,https://open.spotify.com/track/2Rd4eJ4KwXQQn2sMSToyUM
44,Jail,"Kanye West",13374077,https://open.spotify.com/track/42ZrMq4BKsWDrrbMnMRYaK
45,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",13283877,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
46,"Blinding Lights","The Weeknd",13282212,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
47,"family ties (with Kendrick Lamar)","Baby Keem",13255149,https://open.spotify.com/track/7Bpx2vsWfQFBACRz4h3IqH
48,"In Da Getto","J Balvin",13119628,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
49,París,Ingratax,12879133,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
50,"F*****g Fans",Drake,12312466,https://open.spotify.com/track/3RkNXZvOSMMElmmXztDc94
51,"deja vu","Olivia Rodrigo",12024457,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
52,"AM Remix","Nio Garcia",11869240,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
53,"drivers license","Olivia Rodrigo",11862663,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
54,"Volando - Remix",Mora,11808168,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
55,"Cold Heart - PNAU Remix","Elton John",11486519,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
