,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Beggin',Måneskin,52160401,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,"good 4 u","Olivia Rodrigo",46014325,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
3,"STAY (with Justin Bieber)","The Kid LAROI",43686697,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
4,"Bad Habits","Ed Sheeran",38474834,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"Permission to Dance",BTS,38023318,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2
6,"MONTERO (Call Me By Your Name)","Lil Nas X",31022231,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,"Todo De Ti","Rauw Alejandro",30362018,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
8,Yonaguni,"Bad Bunny",30341022,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
9,Butter,BTS,30256738,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
10,"Kiss Me More (feat. SZA)","Doja Cat",29716970,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
11,"I WANNA BE YOUR SLAVE",Måneskin,26456463,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
12,"Qué Más Pues?","J Balvin",25246454,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
13,"Levitating (feat. DaBaby)","Dua Lipa",24484411,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",22373591,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,"deja vu","Olivia Rodrigo",21726135,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
16,"AM Remix","Nio Garcia",21373551,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
17,traitor,"Olivia Rodrigo",20546322,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
18,"Motley Crew","Post Malone",20518441,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
19,NDA,"Billie Eilish",19622725,https://open.spotify.com/track/6uqyE384HDSsuwpoF4mjrL
20,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",18911335,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
21,happier,"Olivia Rodrigo",17603426,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
22,"drivers license","Olivia Rodrigo",17172867,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
23,"Volando - Remix",Mora,16669383,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
24,"Leave The Door Open","Bruno Mars",15812359,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
25,"Astronaut In The Ocean","Masked Wolf",15671079,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
26,"favorite crime","Olivia Rodrigo",15549931,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
27,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,15479076,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
28,"Blinding Lights","The Weeknd",15321063,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,"You Right","Doja Cat",15275569,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
30,Dynamite,BTS,14836638,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
31,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,14213618,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
32,"Pareja Del Año","Sebastian Yatra",14057121,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
33,"Ain't Shit","Doja Cat",13058917,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
34,RAPSTAR,"Polo G",13052060,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
35,"jealousy, jealousy","Olivia Rodrigo",12587612,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
36,DÁKITI,"Bad Bunny",12435272,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
37,"Watermelon Sugar","Harry Styles",12431564,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
38,"Build a Bitch","Bella Poarch",12318194,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
39,"Poblado - Remix","J Balvin",12275378,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
40,"Fiel - Remix",Wisin,12112010,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
