,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",62413082,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",41902868,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
3,"Bad Habits","Ed Sheeran",31351285,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
4,Pepas,Farruko,29676719,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
5,"Heat Waves","Glass Animals",28688699,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
6,Woman,"Doja Cat",28542372,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
7,Beggin',Måneskin,26772173,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
8,"good 4 u","Olivia Rodrigo",25414611,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
9,"Fair Trade (with Travis Scott)",Drake,25297983,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
10,"Way 2 Sexy (with Future & Young Thug)",Drake,24928604,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
11,Shivers,"Ed Sheeran",23729735,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
12,"Girls Want Girls (with Lil Baby)",Drake,23379545,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
13,"Need to Know","Doja Cat",23196486,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
14,"MONTERO (Call Me By Your Name)","Lil Nas X",20710480,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
15,"Kiss Me More (feat. SZA)","Doja Cat",20170105,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
16,"Happier Than Ever","Billie Eilish",19664713,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
17,Hurricane,"Kanye West",19370230,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
18,LALISA,LISA,18455241,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
19,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,18375341,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
20,"Todo De Ti","Rauw Alejandro",18022876,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
21,Yonaguni,"Bad Bunny",17195763,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
22,Volví,Aventura,16342344,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
23,"In Da Getto","J Balvin",15971386,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
24,"Qué Más Pues?","J Balvin",15384428,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
25,"Levitating (feat. DaBaby)","Dua Lipa",15279109,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,traitor,"Olivia Rodrigo",14922433,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
27,"Cold Heart - PNAU Remix","Elton John",14689417,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
28,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",14439357,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
29,"Take My Breath - Single Version","The Weeknd",14287625,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
30,"family ties (with Kendrick Lamar)","Baby Keem",14079036,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
31,"I WANNA BE YOUR SLAVE",Måneskin,14073872,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
32,"Life Goes On","Oliver Tree",13828796,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
33,"Champagne Poetry",Drake,13239717,https://open.spotify.com/track/2HSmyk2qMN8WQjuGhaQgCk
34,"Blinding Lights","The Weeknd",13064129,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
35,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",12574176,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
36,"Get Into It (Yuh)","Doja Cat",12006248,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
37,París,Ingratax,11940428,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
38,2055,"Sleepy Hallow",11928780,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
39,"drivers license","Olivia Rodrigo",11772296,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
40,"Volando - Remix",Mora,11318170,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
