,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",69314436,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",42998934,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
3,Beggin',Måneskin,37897270,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
4,"Bad Habits","Ed Sheeran",36339795,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"good 4 u","Olivia Rodrigo",32855051,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
6,"Happier Than Ever","Billie Eilish",29184657,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
7,"Need to Know","Doja Cat",29028484,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
8,Pepas,Farruko,27725453,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
9,"MONTERO (Call Me By Your Name)","Lil Nas X",25660450,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
10,"Kiss Me More (feat. SZA)","Doja Cat",25213226,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
11,"Take My Breath - Single Version","The Weeknd",23480943,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
12,"Todo De Ti","Rauw Alejandro",23084992,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
13,Volví,Aventura,22193322,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
14,Woman,"Doja Cat",21069286,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
15,"I WANNA BE YOUR SLAVE",Måneskin,20911007,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
16,Yonaguni,"Bad Bunny",20589347,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
17,"Qué Más Pues?","J Balvin",19101402,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
18,"Levitating (feat. DaBaby)","Dua Lipa",19093444,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
19,traitor,"Olivia Rodrigo",18214531,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
20,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",17692958,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
21,"Rumors (feat. Cardi B)",Lizzo,15932972,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s
22,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",15899143,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
23,Butter,BTS,15220201,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
24,"deja vu","Olivia Rodrigo",15033767,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
25,"AM Remix","Nio Garcia",15002110,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
26,"Volando - Remix",Mora,14313477,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
27,"Blinding Lights","The Weeknd",14243833,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,"Permission to Dance",BTS,14121740,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
29,"Heat Waves","Glass Animals",14093432,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
30,"drivers license","Olivia Rodrigo",13929267,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
31,París,Ingratax,13316315,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
32,2055,"Sleepy Hallow",13026292,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
33,"Leave The Door Open","Bruno Mars",13023003,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
34,"Ain't Shit","Doja Cat",12820686,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
35,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,12475457,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
