,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",46541909,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",41719872,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Kiss Me More (feat. SZA)","Doja Cat",34664284,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
4,"Your Power","Billie Eilish",32938716,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
5,"Levitating (feat. DaBaby)","Dua Lipa",28581586,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Astronaut In The Ocean","Masked Wolf",26918334,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
7,"Leave The Door Open","Bruno Mars",25641105,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
8,RAPSTAR,"Polo G",25342935,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
9,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",24068955,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
10,Fiel,"Los Legendarios",23965145,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
11,"deja vu","Olivia Rodrigo",21765571,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"Pareja Del Año","Sebastian Yatra",20899730,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
13,"drivers license","Olivia Rodrigo",19895667,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,"Heartbreak Anniversary",Giveon,19220863,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
15,"Botella Tras Botella","Gera MX",18675665,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
16,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,18551653,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
17,AM,"Nio Garcia",18500906,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
18,"Blinding Lights","The Weeknd",18361347,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,telepatía,"Kali Uchis",17979938,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
20,DÁKITI,"Bad Bunny",17233511,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
21,"The Business",Tiësto,16758242,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
22,Runaway,AURORA,16701677,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
23,"Hold On","Justin Bieber",15399104,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
24,"Save Your Tears","The Weeknd",14773311,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
25,Up,"Cardi B",14440018,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
26,"Mood (feat. iann dior)",24kGoldn,13425883,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
27,Arcade,"Duncan Laurence",13101618,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
28,"Heat Waves","Glass Animals",12988536,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,Bandido,"Myke Towers",12793092,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
30,Streets,"Doja Cat",12707455,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
31,"Your Love (9PM)",ATB,12547102,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,"Goosebumps - Remix","Travis Scott",12431329,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
33,911,Sech,12367606,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
34,"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI",12209377,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
35,"Watermelon Sugar","Harry Styles",12129175,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
