,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",52950021,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,Beggin',Måneskin,43952453,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"Todo De Ti","Rauw Alejandro",36334435,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
4,"MONTERO (Call Me By Your Name)","Lil Nas X",35528157,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,Yonaguni,"Bad Bunny",34494324,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
6,"Kiss Me More (feat. SZA)","Doja Cat",34489940,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
7,"Bad Habits","Ed Sheeran",33871349,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
8,"Levitating (feat. DaBaby)","Dua Lipa",27382789,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
9,"I WANNA BE YOUR SLAVE",Måneskin,26695148,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
10,Butter,BTS,25383416,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
11,"Qué Más Pues?","J Balvin",25159666,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
12,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",24928005,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
13,"deja vu","Olivia Rodrigo",24878497,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
14,"AM Remix","Nio Garcia",23435409,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
15,"You Right","Doja Cat",22992708,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
16,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",21101778,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
17,traitor,"Olivia Rodrigo",20156744,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
18,happier,"Olivia Rodrigo",19334352,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
19,"Astronaut In The Ocean","Masked Wolf",18447223,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
20,"drivers license","Olivia Rodrigo",18357809,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
21,"Leave The Door Open","Bruno Mars",17813403,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
22,"WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator",17225337,https://open.spotify.com/track/5B0kgjHULYJhAQkK5XsMoC
23,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,16657008,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
24,"Pareja Del Año","Sebastian Yatra",16062088,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
25,"Blinding Lights","The Weeknd",15655365,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,RAPSTAR,"Polo G",15294057,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
