,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",55885730,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",47510601,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"My Universe",Coldplay,32790116,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
4,"Heat Waves","Glass Animals",31067813,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
5,Pepas,Farruko,29289287,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
6,"Bad Habits","Ed Sheeran",29024050,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
7,Woman,"Doja Cat",27995514,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,Shivers,"Ed Sheeran",26022703,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"THATS WHAT I WANT","Lil Nas X",25839821,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
10,Beggin',Måneskin,24387323,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
11,"good 4 u","Olivia Rodrigo",23551560,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,"MONTERO (Call Me By Your Name)","Lil Nas X",23544094,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
13,"Way 2 Sexy (with Future & Young Thug)",Drake,20625145,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
14,"Need to Know","Doja Cat",20494448,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
15,"Happier Than Ever","Billie Eilish",19975909,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
16,"love nwantiti (ah ah ah)",CKay,19974579,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
17,"Cold Heart - PNAU Remix","Elton John",19485554,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
18,"Life Goes On","Oliver Tree",19268564,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
19,"Kiss Me More (feat. SZA)","Doja Cat",18642369,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
20,"Fair Trade (with Travis Scott)",Drake,16714273,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
21,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,16305632,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
22,Yonaguni,"Bad Bunny",16199560,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
23,"Todo De Ti","Rauw Alejandro",15778535,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
24,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,15077355,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
25,Volví,Aventura,15058863,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
26,traitor,"Olivia Rodrigo",14875224,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
27,"Levitating (feat. DaBaby)","Dua Lipa",14800239,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,LALISA,LISA,14488602,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
29,"In Da Getto","J Balvin",14189564,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
30,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",13613633,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
31,MONEY,LISA,13545135,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
32,"Take My Breath - Single Version","The Weeknd",13244817,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
33,"Meet Me At Our Spot","THE ANXIETY",13161436,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
34,"Qué Más Pues?","J Balvin",12845957,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
35,"Blinding Lights","The Weeknd",12810321,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
36,"Girls Want Girls (with Lil Baby)",Drake,12790468,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
37,Hurricane,"Kanye West",12717295,https://open.spotify.com/track/0RbW8kWozrVSIGb4V13o0o
38,"I WANNA BE YOUR SLAVE",Måneskin,12345473,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
39,Butter,BTS,12286136,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
40,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",12206040,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
41,"drivers license","Olivia Rodrigo",11602712,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
42,"Don't Be Shy",Tiësto,11587692,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
43,2055,"Sleepy Hallow",11579376,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
44,"Wildest Dreams (Taylor's Version)","Taylor Swift",11464000,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
45,"Ley Seca","Jhay Cortez",11418146,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
46,Cúrame,"Rauw Alejandro",11345113,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
47,"Get Into It (Yuh)","Doja Cat",10881176,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
48,"Where Are You Now","Lost Frequencies",10746236,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
49,Sobrio,Maluma,10645133,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
50,"AM Remix","Nio Garcia",10482746,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
51,"Volando - Remix",Mora,10364052,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
52,"deja vu","Olivia Rodrigo",10335435,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
53,"Permission to Dance",BTS,10333834,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
54,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",10206267,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
55,París,Ingratax,9964005,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
56,"family ties (with Kendrick Lamar)","Baby Keem",9900093,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
57,"Don't Go Yet","Camila Cabello",9587759,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
58,"Watermelon Sugar","Harry Styles",9566164,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
59,"Sweater Weather","The Neighbourhood",9268765,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
60,DÁKITI,"Bad Bunny",9153046,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
61,"Leave The Door Open","Bruno Mars",8999268,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
62,Nostálgico,Rvssian,8890732,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
63,"Like I Can","Sam Smith",8824618,https://open.spotify.com/track/0mJBiaODgK0XjOLCN5fItq
64,"Entre Nosotros","Tiago PZK",8763558,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
65,happier,"Olivia Rodrigo",8748754,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
66,"Love Tonight - Edit",Shouse,8735579,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
67,"Mood (feat. iann dior)",24kGoldn,8723444,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
68,Dynamite,BTS,8719388,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
69,"Una Nota","J Balvin",8680859,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
70,"Dark Red","Steve Lacy",8637286,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
71,Freaks,"Surf Curse",8229013,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
72,"Someone You Loved","Lewis Capaldi",8198902,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
73,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,8184031,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
74,"Don't Start Now","Dua Lipa",8140242,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
75,Bored,"Billie Eilish",8136788,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
76,Miénteme,TINI,7982451,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
77,"Pareja Del Año","Sebastian Yatra",7964933,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
78,"I GUESS I'M IN LOVE","Clinton Kane",7895736,https://open.spotify.com/track/1is8gU4RVcN4J8xItxWoOY
79,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,7823821,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
80,"Tiroteo - Remix","Marc Seguí",7691845,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
81,"Astronaut In The Ocean","Masked Wolf",7683857,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
82,"edamame (feat. Rich Brian)",bbno$,7651389,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
83,"The Business",Tiësto,7608736,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
84,"Your Heart","Joyner Lucas",7564368,https://open.spotify.com/track/2DTpP3caqX3QdJIEoS83mD
85,"jealousy, jealousy","Olivia Rodrigo",7417730,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
86,"Love Again","Dua Lipa",7406089,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
87,"Ain't Shit","Doja Cat",7396316,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
