,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",51042131,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",43645835,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
3,"Heat Waves","Glass Animals",30574121,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
4,Pepas,Farruko,27766881,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
5,"Bad Habits","Ed Sheeran",27341501,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
6,"My Universe",Coldplay,26193721,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
7,Woman,"Doja Cat",25839640,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
8,Shivers,"Ed Sheeran",25113274,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
9,"love nwantiti (ah ah ah)",CKay,22661454,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
10,"THATS WHAT I WANT","Lil Nas X",22631771,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
11,"good 4 u","Olivia Rodrigo",22522614,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12,Beggin',Måneskin,22486124,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
13,"MONTERO (Call Me By Your Name)","Lil Nas X",21487844,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
14,"Cold Heart - PNAU Remix","Elton John",21042246,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
15,"Life Goes On","Oliver Tree",20447801,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
16,MONEY,LISA,20203519,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
17,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,19860629,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
18,"Need to Know","Doja Cat",19703877,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
19,"Happier Than Ever","Billie Eilish",19293283,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
20,"Kiss Me More (feat. SZA)","Doja Cat",18120381,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
21,"Way 2 Sexy (with Future & Young Thug)",Drake,17718637,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
22,Yonaguni,"Bad Bunny",15556824,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
23,"Todo De Ti","Rauw Alejandro",14671500,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
24,traitor,"Olivia Rodrigo",14659550,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
25,"Levitating (feat. DaBaby)","Dua Lipa",14430748,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,"Fair Trade (with Travis Scott)",Drake,14317808,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
27,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,14249643,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
28,Volví,Aventura,14111444,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
29,"In Da Getto","J Balvin",13278632,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
30,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",13147606,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
31,"Meet Me At Our Spot","THE ANXIETY",13052371,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
32,"Blinding Lights","The Weeknd",12894635,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
33,"Take My Breath - Single Version","The Weeknd",12378852,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
34,"Qué Más Pues?","J Balvin",11887731,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
35,LALISA,LISA,11876899,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
36,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",11792650,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
37,"I WANNA BE YOUR SLAVE",Måneskin,11667083,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
38,"drivers license","Olivia Rodrigo",11490490,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
39,"Where Are You Now","Lost Frequencies",11456599,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
