,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",70502410,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",43376274,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
3,"Bad Habits","Ed Sheeran",36495254,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
4,Beggin',Måneskin,35676365,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
5,"good 4 u","Olivia Rodrigo",31686456,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
6,"Need to Know","Doja Cat",29990272,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
7,Pepas,Farruko,28769701,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
8,"Happier Than Ever","Billie Eilish",26238860,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
9,Woman,"Doja Cat",24707851,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
10,"Kiss Me More (feat. SZA)","Doja Cat",24583270,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
11,"MONTERO (Call Me By Your Name)","Lil Nas X",24460357,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
12,"Todo De Ti","Rauw Alejandro",21554888,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
13,"Take My Breath - Single Version","The Weeknd",20484982,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
14,Volví,Aventura,20239899,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
15,Yonaguni,"Bad Bunny",19446379,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
16,"I WANNA BE YOUR SLAVE",Måneskin,19252650,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
17,"Levitating (feat. DaBaby)","Dua Lipa",18010763,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,traitor,"Olivia Rodrigo",17749866,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
19,"Qué Más Pues?","J Balvin",17703299,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
20,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",16834303,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
21,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",15228272,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
22,"deja vu","Olivia Rodrigo",14519295,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
23,Butter,BTS,14324552,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
