track_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,key,duration_ms,loudness,mode,valence
4tCtwWceOPWzenK2HAIJSb,0.585,0.0644,105.017,0.0432,0.103,3.94e-06,0.803,8,214480,-5.861,1,0.593
7DM4BPaS7uofFul3ywMe46,0.92,0.101,99.935,0.226,0.00431,1.69e-05,0.663,11,259196,-4.07,0,0.533
3QwBODjSEzelZyVjxPOHdq,0.772,0.44,96.016,0.1,0.0559,0.000486,0.832,10,209453,-5.429,1,0.704
4F7A0DXBrmUAkp32uenhZt,0.63,0.259,77.525,0.105,0.189,2.31e-05,0.573,1,249213,-8.389,1,0.218
3AsAuGTaDQzavZZThyYlop,0.569,0.083,107.986,0.0739,0.0623,0,0.803,2,188889,-7.392,1,0.809
5bZtRlMBU76vHuDOb1GM5u,0.833,0.266,117.99,0.0463,0.35,0,0.739,1,195313,-5.012,1,0.699
7xHWNBFm6ObGEQPaUxHuKO,0.725,0.0561,191.944,0.266,0.0102,0.000479,0.668,1,210227,-6.127,1,0.729
2Z8WuEywRWYTKe1NybPQEW,0.713,0.113,74.989,0.0393,0.00835,0,0.645,6,214507,-5.355,1,0.566
0SGkqnVQo9KPytSri1H6cF,0.575,0.129,81.502,0.139,0.106,0,0.78,1,222360,-5.628,0,0.273
6I6NX6tjGsxFAsIfGzY9lJ,0.421,0.187,174.063,0.412,0.352,0.000218,0.657,9,264747,-11.378,1,0.181
6HUnnBwYZqcED1eQztxMBN,0.836,0.194,114.965,0.0507,0.0435,0,0.744,6,174933,-2.396,0,0.36
14WWzenpaEgQZlqPq2nk4v,0.534,0.0919,91.974,0.0946,0.0752,0,0.725,11,219320,-6.238,1,0.558
11KJSRSgaDxqydKYiD2Jew,0.648,0.102,117.983,0.117,0.0573,3.49e-05,0.804,7,263373,-7.805,1,0.392
58zsLZPvfflaiIbNWoA22O,0.707,0.165,75.087,0.302,0.393,0,0.602,9,200187,-4.097,1,0.554
3hB5DgAiMAQ4DzYbsMq1IT,0.378,0.28,100.418,0.438,0.835,0,0.609,4,233720,-9.828,1,0.515
3CRDbSIZ4r5MsZ0YwxuEkn,0.637,0.0602,169.977,0.141,0.0462,2.29e-05,0.734,4,202333,-5.677,0,0.648
7gHs73wELdeycvS48JfIos,0.651,0.111,90.011,0.0306,0.0291,3.2e-06,0.589,6,212627,-5.097,1,0.166
69bp2EbF7Q2rqc5N3ylezZ,0.76,0.299,99.945,0.045,0.0797,0,0.654,0,200787,-3.669,0,0.41
5OOkp4U9P9oL23maHFHL1h,0.766,0.366,144.833,0.449,0.028,1.68e-06,0.576,10,246761,-4.943,0,0.236
7vRriwrloYVaoAe3a9wJHe,0.275,0.101,92.6,0.3,0.687,0,0.492,6,251034,-13.4,0,0.18
2BrzlUj1u1CtvaJDGIKpsP,0.471,0.0733,152.881,0.0577,0.592,0.00146,0.588,0,242081,-7.287,1,0.209
4vb4mFvYsr2h6enhjJsq9Y,0.838,0.108,94.982,0.0704,0.0189,1.54e-05,0.596,5,240427,-6.52,0,0.472
2aFiaMXmWsM3Vj72F9ksBl,0.764,0.0383,118.997,0.0518,0.156,0,0.774,4,219147,-5.445,0,0.912
6bLopGnirdrilrpdVB6Um1,0.785,0.0512,191.95,0.174,0.0174,0.00107,0.639,10,210920,-6.167,0,0.686
1OAiWI2oPmglaOiv9fdioU,0.849,0.12,102.028,0.0517,0.00868,4.68e-06,0.564,0,212647,-3.516,0,0.427
2CPqh63wRVscbceKcPxwvv,0.575,0.104,90.037,0.029,0.0225,1.81e-06,0.632,5,183414,-6.478,1,0.188
2HzfRSfCogBSsgW2CckVA2,0.852,0.0687,82.914,0.208,0.0845,0,0.422,6,248387,-3.546,1,0.666
4dASQiO1Eoo3RJvt74FtXB,0.786,0.65,169.021,0.317,0.255,0,0.502,9,243491,-4.378,0,0.739
0L7loeTIg6akW84aEQZpCT,0.877,0.233,107.985,0.0666,0.0375,0.000833,0.746,9,166138,-3.782,0,0.751
0B8B8cVRFIG1yznoQe7c9s,0.717,0.261,105.039,0.0375,0.017,0,0.626,8,247427,-5.751,0,0.56
6F609ICg9Spjrw1epsAnpa,0.476,0.113,122.976,0.249,0.0773,0,0.607,10,245227,-11.076,0,0.347
0EPxmvsG1BY5td4aTOkWBF,0.604,0.0488,129.926,0.0573,0.456,0,0.931,0,144039,-1.41,0,0.864
0sXvAOmXgjR2QUqLK1MltU,0.964,0.336,179.935,0.129,0.198,2.32e-06,0.736,0,227707,-2.147,1,0.953
0YHUITU3w6ws1v8ehT264g,0.739,0.119,126.002,0.0952,0.0316,5.95e-06,0.774,0,246240,-4.022,1,0.823
7yHEDfrJNd0zWOfXwydNH0,0.727,0.151,107.988,0.106,0.0161,1.12e-06,0.636,9,244453,-5.852,1,0.358
2wDjpPW3HZdA9quPPmZAMu,0.636,0.122,156.104,0.22,0.494,0,0.42,10,215670,-7.216,1,0.784
5J1c3M4EldCfNxXwrwt8mT,0.669,0.219,91.012,0.0638,0.142,0,0.776,11,228467,-4.933,1,0.661
0hNduWmlWmEmuwEFcYvRu1,0.467,0.109,90.838,0.0503,0.729,0.809,0.783,6,237793,-9.474,1,0.236
6fwdbPMwP1zVStm8FybmkO,0.413,0.101,149.004,0.396,0.373,0.00133,0.835,1,258880,-9.81,1,0.111
5uDASfU19gDxSjW8cnCaBp,0.427,0.0906,108.034,0.145,0.0312,0.00099,0.886,6,177184,-10.028,1,0.23
1Tt4sE4pXi57mTD1GCzsqm,0.314,0.0825,110.898,0.244,0.11,0,0.671,5,191600,-8.091,0,0.296
7129iqBafaphfc3WPCGC0L,0.479,0.391,119.951,0.0551,0.29,0,0.742,10,237300,-5.83,1,0.346
1lItf5ZXJc1by9SbPeljFd,0.887,0.391,160.517,0.275,0.00381,0,0.807,1,144244,-3.892,1,0.78
1CnPYaKxTVb4LWOtiGOm0m,0.567,0.0933,90.246,0.0828,0.0584,0,0.617,0,217603,-4.188,1,0.505
2XMTqoHHSH0lvuXrvIEdco,0.708,0.686,92.991,0.0305,0.0398,0.155,0.683,5,237707,-6.244,0,0.355
4BHzQ9C00ceJxfG16AlNWb,0.524,0.17,164.023,0.103,0.0415,3.16e-06,0.69,6,223080,-8.39,0,0.562
6OZh916QF8XNunWaP97WEZ,0.587,0.307,113.901,0.0785,0.453,0,0.459,9,212424,-6.983,1,0.581
0kN8xEmgMW9mh7UmDYHlJP,0.574,0.083,174.152,0.0454,0.196,0,0.578,2,261240,-6.209,1,0.301
4ckuS4Nj4FZ7i3Def3Br8W,0.558,0.16,85.011,0.172,0.00496,1.45e-06,0.806,8,251333,-6.538,1,0.26
0tICYNayWWhH9GPeFrfjfD,0.729,0.317,121.972,0.0394,0.08,3.1e-05,0.793,0,195547,-4.77,0,0.488
58IL315gMSTD37DOZPJ2hf,0.626,0.0631,88.007,0.292,0.076,0,0.899,6,234320,-4.228,0,0.873
6YZdkObH88npeKrrkb8Ggf,0.908,0.135,91.03,0.103,0.0858,0,0.716,8,199693,-3.254,0,0.869
40UroIGvsMPLPBYwH8rMNA,0.671,0.115,104.953,0.0814,0.153,1.12e-05,0.779,9,177095,-5.829,1,0.718
4h90qkbnW1Qq6pBhoPvwko,0.72,0.348,149.828,0.0628,0.147,0,0.542,1,231360,-5.136,0,0.623
4OZEu0Vwq0RB2LAq14v99n,0.7,0.0549,104.981,0.0436,0.0199,0,0.611,9,220573,-5.331,1,0.213
6fxVffaTuwjgEk5h9QyRjy,0.379,0.0986,107.989,0.0476,0.607,0.000464,0.614,4,258987,-10.48,1,0.201
5DA77EqppDmCTWGovd4oTP,0.692,0.138,102.42,0.171,0.00451,0,0.51,0,228361,-5.825,1,0.209
4qqArAiTPueDxIp7cf87h7,0.672,0.0756,104.988,0.0345,0.014,7.95e-05,0.695,1,235827,-6.109,0,0.245
1FUViuNSldssMIawrOXF2i,0.887,0.09,97.99,0.0507,0.0504,4.76e-06,0.609,9,191812,-4.749,0,0.316
40YcuQysJ0KlGQTeGUosTC,0.674,0.158,111.995,0.0959,0.0184,0,0.756,0,251467,-6.518,0,0.389
4nMlau89VAjmV7agkl7OY3,0.544,0.144,122.047,0.0332,0.562,2.4e-05,0.822,0,198001,-6.797,1,0.861
04CttTezSnv71USiiG9mIo,0.662,0.0804,96.053,0.0362,0.0178,0,0.595,11,218447,-6.858,0,0.417
4gmmRb6bZJffOOiww1JGTO,0.444,0.173,140.063,0.384,0.136,6.44e-05,0.906,4,235040,-8.692,0,0.678
4mU5iXHeLgbR94siF7p1sY,0.504,0.125,140.035,0.0761,0.129,0,0.772,6,237573,-8.219,0,0.244
20ZAJdsKB5IGbGj4ilRt2o,0.687,0.0679,175.914,0.0782,0.0998,0,0.721,1,226400,-6.682,1,0.825
4WjH9Bzt3kx7z8kl0awxh4,0.809,0.565,98.007,0.0625,0.00346,0.00123,0.723,7,176561,-3.081,0,0.274
6stYbAJgTszHAHZMPxWWCY,0.829,0.189,92.033,0.0681,0.167,0,0.761,0,252003,-3.203,0,0.813
2MHCiOohBZEQuLgDTPvSzF,0.906,0.145,124.146,0.0758,0.105,0,0.562,4,205920,-2.085,1,0.674
7JYsArznYOjX2jsrT3UEnL,0.847,0.154,166.072,0.447,0.533,0,0.635,7,234650,-3.152,1,0.568
5nA67Y0XX9JipZwYxX7Gl7,0.409,0.126,111.861,0.0311,0.71,0,0.687,9,232600,-7.751,1,0.16
3kxfsdsCpFgN412fpnW85Y,0.356,0.123,160.033,0.0941,0.172,0.00943,0.745,1,326933,-10.425,1,0.607
3E2Zh20GDCR9B1EYjfXWyv,0.637,0.184,123.98,0.0429,0.137,0,0.673,5,201160,-4.518,1,0.678
1Slwb6dOYkBlWal1PGtnNg,0.445,0.184,78.998,0.0295,0.474,0,0.781,2,281560,-6.061,1,0.591
02WacdrRpm4zlP8H7X6bnQ,0.174,0.0855,112.175,0.0332,0.851,1.92e-05,0.608,1,260004,-8.796,1,0.193
0PDUDa38GO8lMxLCRc4lL1,0.7,0.0939,124.944,0.0456,0.117,0,0.584,11,202747,-4.275,1,0.438
2Ae5awwKvQpTBKQHr1TYCg,0.801,0.0742,105.055,0.0802,0.0548,2.09e-05,0.811,9,195429,-6.0,0,0.693
1rIKgCH4H52lrvDcz50hS8,0.712,0.211,98.023,0.046,0.132,0,0.694,7,201122,-3.923,0,0.799
0ADG9OgdVTL7fgREP75BrZ,0.782,0.285,141.153,0.0296,0.00778,0,0.576,6,224031,-4.825,0,0.355
