artist_id,artist_name,genres,popularity,followers
2cQr2KbzdRtIFlfbHGnNsL,Ziv Zaifman,['show tunes'],55,10141
5wbf52LA6kcaboHSN6NEF1,PEDRO SAMPAIO,['funk carioca'],72,1695810
1UCxzrM5WJh9ure5vCcsim,Charlie Charles,"['italian hip hop', 'italian pop']",49,484326
7CCjtD0hCK005Bvg2WG1a7,Carnage,"['edm', 'electro house', 'electronic trap', 'pop rap', 'trap']",56,306860
3Nipsl6GVwwGyeAk0J29C6,MC G15,"['funk carioca', 'funk mtg', 'funk ostentacao', 'funk paulista']",68,3640527
3a5ydeAaojKa3CHWe5PVWK,MC MM,"['funk carioca', 'funk consciente', 'funk ostentacao', 'funk paulista']",42,846447
53KwLdlmrlCelAZMaLVZqU,James Blake,"['alternative r&b', 'indie soul', 'uk alternative pop']",65,1274944
4x1nvY2FN8jxqAFA0DA02H,John Lennon,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']",67,4946986
5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']",68,6056684
2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,"['folk-pop', 'neo-singer-songwriter', 'pop']",74,3703829
2JLqTvFXmC87BksiCsBezV,Matt Terry,['talent show'],42,125498
3yiEJ9SByXZMXTwaKdVFN4,Luchè,"['italian hip hop', 'rap napoletano']",66,672738
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",76,4804650
5338fdSzGNOFD4cxAxDTeq,Aaron Carter,"['dance pop', 'post-teen pop']",43,271112
5zfEatKLDdRkgbw6sdLBAQ,Octavian,"['afroswing', 'london rap', 'uk alternative hip hop', 'uk hip hop']",57,233089
4ETSs924pXMzjIeD6E9b4u,Surfaces,"['bedroom soul', 'pop']",71,848843
3Hb64DQZIhDCgyHKrzBXOL,Daði Freyr,"['icelandic pop', 'sunnlensk tonlist']",53,196988
5RmQ8k4l3HZ8JoPb4mNsML,Agust D,['k-rap'],64,9078348
3whgFbrRxsOmYVrq3t4hCY,Paulo Pires,"['arrocha', 'arrochadeira', 'forro', 'piseiro', 'sertanejo pop']",57,17449
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,"['deep german hip hop', 'german drill', 'german hip hop']",63,1152049
57vWImR43h4CaDao012Ofp,Steve Lacy,"['afrofuturism', 'pop']",76,1380743
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,"['hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",80,4280719
0DjQFfVxBipTFTXRCwImMP,Mc Anjim,"['funk bh', 'funk carioca', 'funk mtg', 'funk viral', 'rap mineiro']",61,406870
3wVXTWabe3viT0jF7DfjOL,Vedo,"['pop r&b', 'pop rap', 'r&b']",61,333579
2DaxqgrOhkeH0fpeiQq2f4,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",74,7489488
4lDiJcOJ2GLCK6p9q5BgfK,Kontra K,"['christlicher rap', 'german hip hop']",67,1963690
6Ip8FS7vWT1uKkJSweANQK,Dave,['uk hip hop'],76,2318651
74XFHRwlV6OrjEM0A2NCMF,Paramore,"['candy pop', 'pixie', 'pop emo', 'pop punk']",75,6983943
7Do8se3ZoaVqUt3woqqSrD,MACHETE,"['italian hip hop', 'trap italiana']",55,431315
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']",77,2436716
0EeQBlQJFiAfJeVN2vT9s0,Nipsey Hussle,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",66,2777951
7f02bxFbZIOVdSbYRNYvLT,Jerry Di,"['cubaton', 'dominican pop', 'pop venezolano', 'reggaeton', 'trap latino']",61,240866
4LcUpNlXFEleaLlelmkv2R,Kris Kross Amsterdam,"['dutch house', 'dutch pop']",64,172449
1cNPXWhKfjI0fT5EMCnamR,Dj Guuga,"['arrocha', 'arrochadeira', 'funk carioca', 'funk paulista', 'rave funk']",65,758857
3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,"['black americana', 'contemporary country', 'country', 'country road']",74,4176276
5bgfj5zUoWpyeVatGDjn6H,K CAMP,"['atl hip hop', 'gangster rap', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",62,1472510
6i392l38cR3uBPF0DbNs7S,Quality Control,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",64,1034895
3zrUX1hQrUB9aXcOiyQLmN,Stanaj,[],43,60114
1hzfo8twXdOegF3xireCYs,Milky Chance,['german pop'],71,1656471
2TcGJdSOiOvITBzhvfX8XB,Shouse,"['aussietronica', 'pop dance']",71,86551
4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'pop rap', 'tropical house']",73,1208291
35R1B97CfrqKFFI3QBkTDx,RealestK,['chill r&b'],62,161594
2wzMOQwNT6ZvVB4amvhFAH,The Pogues,"['celtic', 'celtic punk', 'celtic rock', 'folk punk', 'irish folk', 'punk']",53,428613
41X1TR6hrK8Q2ZCpp2EqCz,bbno$,"['canadian hip hop', 'dark trap', 'vapor trap']",72,1085240
6AUl0ykLLpvTktob97x9hO,Tee Grizzley,"['detroit hip hop', 'detroit trap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",67,2926482
7xX15v6ahAkcT14kHfB9wB,True Damage,['k-rap'],47,109422
0LcJLqbBmaGUft1e9Mm8HV,ABBA,"['europop', 'swedish pop']",79,8288826
6tkyhGe9hGI3Lcfo4gVh6Z,ChocQuibTown,"['colombian hip hop', 'colombian pop', 'colombian rock', 'latin', 'latin alternative', 'latin pop', 'reggaeton colombiano', 'salsa choke', 'tropical']",56,608853
4Yttlv9ndGjCDCVLqM7ACq,Sido,['german hip hop'],70,1792889
6vPXtLmNd3mW0dd1Rb9eQ9,Don Patricio,"['rap canario', 'urbano espanol']",58,579301
7ciBW1p3KBsYIkFk4UmwS8,The Rudeboyz,['trap brasileiro'],51,14301
3qBKjEOanahMxlRojwCzhI,Zacari,['gqom'],65,77005
2hejA1Dkf8v8R0koF44FvW,Gera MX,"['mexican hip hop', 'rap conciencia']",75,3295283
6hkKbkZGvAXuvle2FhCnxy,Shablo,['italian hip hop'],58,43931
0Jsk5iYMr5aNjHury7blm1,Boef,['dutch hip hop'],64,1030040
6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,['alternative hip hop'],70,1904758
7vPGzgDg3qGUY5bWtrO3K4,Conkarah,['jawaiian'],53,71054
05o1zW8b6PV6rEquXr74sB,State of Sound,"['deep tropical house', 'swedish tropical house', 'tropical house']",41,44729
2hWs22BmQkK4czFtDLnar2,Rob $tone,['san diego rap'],59,238122
1ITjgqpqMDJlqZGAK3mlPQ,Sefo,['turkish trap'],71,814930
0RIwEP1SaALlxn9jOVqHfA,Gjon's Tears,['eurovision'],43,41473
1LOB7jTeEV14pHai6EXSzF,Cash Cash,"['dance pop', 'edm', 'electro house', 'electropop', 'electropowerpop', 'pop', 'pop dance', 'pop edm', 'tropical house']",63,656422
6ASri4ePR7RlsvIQgWPJpS,iann dior,"['melodic rap', 'pop rap']",76,1595615
0Njy6yR9LykNKYg9yE23QN,Nardo Wick,"['florida rap', 'trap']",68,284038
6sFHvCyqklnJpXC9Nh1aag,Alexander 23,"['alt z', 'pop']",64,300610
47uyFQHOD02S0lj9ptRpoB,Felipe Araújo,"['arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",62,4698210
7yntSJ6uojO3z6GFUVwhAW,CORPSE,"['dream smp', 'viral rap']",69,2190666
2cFCoDyEaPrw8QVnrDlPKU,Stan Kenton,[],3,466
